N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,0,0,7128856
100,10,2000,1642068
100,20,4000,1623638
100,30,6000,1564953
100,40,8000,1672995
100,50,10000,1593339
100,60,12000,1554457
100,70,14000,1540572
100,80,16000,1626171
100,90,18000,1851073
100,100,20000,1679850
100,110,22000,1910626
100,120,24000,1626537
100,130,26000,1626740
100,140,28000,1642906
100,150,30000,1629885
100,160,32000,1739917
100,170,34000,1642775
100,180,36000,1943020
100,190,38000,1681766
100,200,40000,1913685
100,210,42000,1781049
100,220,44000,1708073
100,230,46000,1669933
100,240,48000,1906121
100,250,50000,2108452
100,260,52000,1662021
100,270,54000,1781134
100,280,56000,1758253
100,290,58000,1845693
100,300,60000,1932268
100,310,62000,1832202
100,320,64000,1700851
100,330,66000,1681408
100,340,68000,2103463
100,350,70000,1767469
100,360,72000,1967176
100,370,74000,2063548
100,380,76000,1894191
100,390,78000,1857916
100,400,80000,1880979
100,410,82000,1723302
100,420,84000,1907141
100,430,86000,2054772
100,440,88000,1939160
100,450,90000,2141158
100,460,92000,1919788
100,470,94000,1805129
100,480,96000,1992799
100,490,98000,1783634
100,500,100000,3118352
100,510,102000,1816682
100,520,104000,2173290
100,530,106000,2246501
100,540,108000,1904533
100,550,110000,1900418
100,560,112000,1875661
100,570,114000,2010260
100,580,116000,1958725
100,590,118000,3046597
100,600,120000,2553089
100,610,122000,2666637
100,620,124000,2063121
100,630,126000,2129416
100,640,128000,2525917
100,650,130000,2147148
100,660,132000,2174829
100,670,134000,2173367
100,680,136000,2261607
100,690,138000,2385890
100,700,140000,2008288
100,710,142000,2005198
100,720,144000,2091193
100,730,146000,2047915
100,740,148000,1923120
100,750,150000,2001076
100,760,152000,2290145
100,770,154000,2102535
100,780,156000,2110631
100,790,158000,2161323
100,800,160000,2282497
100,810,162000,2029467
100,820,164000,2048215
100,830,166000,1795925
100,840,168000,1878691
100,850,170000,1967257
100,860,172000,1969901
100,870,174000,2039420
100,880,176000,2056334
100,890,178000,2007993
100,900,180000,2266656
100,910,182000,2202544
100,920,184000,2020517
100,930,186000,2015669
100,940,188000,1803134
100,950,190000,2360206
100,960,192000,2114458
100,970,194000,2103685
100,980,196000,2203091
100,990,198000,2255972
100,1000,200000,2602077
100,1010,202000,2047842
100,1020,204000,2079959
100,1030,206000,2168201
100,1040,208000,2142782
100,1050,210000,2087503
100,1060,212000,2677423
100,1070,214000,2658593
100,1080,216000,2290244
100,1090,218000,2007380
100,1100,220000,2037415
100,1110,222000,2062062
100,1120,224000,2249306
100,1130,226000,2154121
100,1140,228000,3517900
100,1150,230000,3122934
100,1160,232000,2990772
100,1170,234000,2302256
100,1180,236000,2178315
100,1190,238000,2141986
100,1200,240000,2224036
100,1210,242000,2187848
100,1220,244000,2049129
100,1230,246000,2422949
100,1240,248000,2152211
100,1250,250000,2449498
100,1260,252000,2147710
100,1270,254000,2782144
100,1280,256000,2122514
100,1290,258000,1951765
100,1300,260000,2637529
100,1310,262000,2772878
100,1320,264000,2410587
100,1330,266000,2076302
100,1340,268000,2156170
100,1350,270000,2011034
100,1360,272000,2066259
100,1370,274000,2048267
100,1380,276000,2136656
100,1390,278000,2192657
