N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,0,0,3032286
100,10,2000,2277060
100,20,4000,2520845
100,30,6000,2824984
100,40,8000,1956254
100,50,10000,2683544
100,60,12000,2451267
100,70,14000,2315449
100,80,16000,2236419
100,90,18000,2573917
100,100,20000,2176758
100,110,22000,2314941
100,120,24000,2578596
100,130,26000,2372005
100,140,28000,2748514
100,150,30000,2504783
100,160,32000,2460456
100,170,34000,2530660
100,180,36000,2387211
100,190,38000,2410003
100,200,40000,2529949
100,210,42000,2300053
100,220,44000,2481478
100,230,46000,2770361
100,240,48000,2613824
100,250,50000,2994494
100,260,52000,2676489
100,270,54000,2582991
100,280,56000,2438021
100,290,58000,2401396
100,300,60000,2711796
100,310,62000,2569645
100,320,64000,2910865
100,330,66000,2849197
100,340,68000,2707519
100,350,70000,2724288
100,360,72000,2858947
100,370,74000,2791541
100,380,76000,2881320
100,390,78000,2721346
100,400,80000,2592368
100,410,82000,2758453
100,420,84000,2840023
100,430,86000,2961705
100,440,88000,2761446
100,450,90000,3008484
100,460,92000,2930577
100,470,94000,2942542
100,480,96000,2787330
100,490,98000,2693270
100,500,100000,2711639
100,510,102000,2729386
100,520,104000,3085660
100,530,106000,3034872
100,540,108000,2945276
100,550,110000,3341697
100,560,112000,3042096
100,570,114000,3142025
100,580,116000,2921545
100,590,118000,2943855
100,600,120000,2727176
100,610,122000,2866746
100,620,124000,3153634
100,630,126000,2701494
100,640,128000,2634234
100,650,130000,3129210
100,660,132000,2681430
100,670,134000,2747598
100,680,136000,2875485
100,690,138000,3205715
100,700,140000,2767981
100,710,142000,2782561
100,720,144000,2963248
100,730,146000,2874378
100,740,148000,3149980
100,750,150000,3324883
100,760,152000,3270352
100,770,154000,3638100
100,780,156000,3283929
100,790,158000,3400895
100,800,160000,3549451
100,810,162000,4180896
100,820,164000,3439935
100,830,166000,3969665
100,840,168000,3453723
100,850,170000,3462539
100,860,172000,3390070
100,870,174000,3712442
100,880,176000,3601719
100,890,178000,3386197
100,900,180000,3538514
100,910,182000,3552810
100,920,184000,3642277
100,930,186000,3285714
100,940,188000,3540326
100,950,190000,3321564
100,960,192000,4127406
100,970,194000,3690088
100,980,196000,3927625
100,990,198000,3552819
100,1000,200000,3238941
100,1010,202000,3123568
100,1020,204000,3298297
100,1030,206000,3727564
100,1040,208000,3594827
100,1050,210000,3499901
100,1060,212000,3422148
100,1070,214000,3643512
100,1080,216000,4183181
100,1090,218000,3780688
100,1100,220000,3985437
100,1110,222000,3671684
100,1120,224000,3797823
100,1130,226000,3485626
100,1140,228000,3720310
100,1150,230000,3741439
100,1160,232000,3651094
100,1170,234000,3483951
100,1180,236000,4121654
100,1190,238000,4314942
100,1200,240000,4177349
100,1210,242000,4320500
100,1220,244000,3971998
100,1230,246000,4274259
100,1240,248000,4183401
100,1250,250000,4023807
100,1260,252000,4235320
100,1270,254000,3952448
100,1280,256000,4503225
100,1290,258000,4478611
100,1300,260000,4923782
100,1310,262000,4907462
100,1320,264000,4912645
100,1330,266000,4111763
100,1340,268000,4969980
100,1350,270000,4322339
100,1360,272000,4439164
100,1370,274000,4285747
100,1380,276000,4447387
100,1390,278000,4248973
100,1400,280000,4947221
100,1410,282000,4128888
100,1420,284000,4306224
100,1430,286000,4466755
100,1440,288000,4350092
100,1450,290000,4288768
100,1460,292000,4570132
100,1470,294000,4184347
100,1480,296000,4280480
100,1490,298000,4594136
100,1500,300000,4704613
100,1510,302000,4640464
100,1520,304000,4568210
100,1530,306000,4450326
100,1540,308000,4492498
100,1550,310000,5810740
100,1560,312000,4986037
100,1570,314000,5459465
100,1580,316000,4764577
100,1590,318000,4587190
100,1600,320000,4632518
100,1610,322000,4837913
100,1620,324000,4836056
100,1630,326000,4732261
100,1640,328000,4730098
100,1650,330000,4942729
100,1660,332000,5373379
100,1670,334000,5395200
100,1680,336000,5262926
100,1690,338000,5450247
100,1700,340000,5178379
100,1710,342000,4967515
100,1720,344000,4942466
100,1730,346000,4821310
100,1740,348000,5093816
100,1750,350000,5028410
100,1760,352000,4769834
100,1770,354000,5740534
100,1780,356000,5392212
100,1790,358000,5120810
100,1800,360000,4993906
100,1810,362000,4989306
100,1820,364000,4803759
100,1830,366000,5198749
100,1840,368000,4973614
100,1850,370000,5296871
100,1860,372000,5261529
100,1870,374000,4966679
100,1880,376000,4991528
100,1890,378000,5312805
100,1900,380000,4904274
100,1910,382000,5337025
100,1920,384000,5287105
100,1930,386000,5413200
100,1940,388000,5405709
100,1950,390000,5257507
100,1960,392000,5151884
100,1970,394000,6127328
100,1980,396000,5246331
100,1990,398000,5318892
100,2000,400000,5450044
100,2010,402000,5666743
100,2020,404000,5585746
100,2030,406000,5565763
100,2040,408000,5476234
100,2050,410000,5604194
100,2060,412000,5778134
100,2070,414000,5377733
100,2080,416000,5249647
100,2090,418000,5595694
100,2100,420000,5625234
100,2110,422000,5584839
100,2120,424000,5186605
100,2130,426000,5386884
100,2140,428000,5656478
100,2150,430000,5730424
100,2160,432000,5901139
100,2170,434000,5923853
100,2180,436000,5356015
100,2190,438000,5684373
100,2200,440000,5463916
100,2210,442000,5333111
100,2220,444000,5488079
100,2230,446000,5698761
100,2240,448000,5836255
100,2250,450000,5687930
100,2260,452000,6519171
100,2270,454000,6082878
100,2280,456000,5753131
100,2290,458000,5788625
100,2300,460000,6808945
100,2310,462000,5714751
100,2320,464000,5771919
100,2330,466000,5725892
100,2340,468000,5975653
100,2350,470000,5780720
100,2360,472000,5761018
100,2370,474000,7169247
100,2380,476000,5749177
100,2390,478000,6278140
100,2400,480000,5830442
100,2410,482000,6478826
100,2420,484000,6054193
100,2430,486000,5658071
100,2440,488000,6556973
100,2450,490000,6358783
100,2460,492000,6964475
100,2470,494000,6325604
100,2480,496000,6444793
100,2490,498000,6289041
100,2500,500000,6699848
100,2510,502000,6403364
100,2520,504000,6746638
100,2530,506000,6288235
100,2540,508000,6530030
100,2550,510000,6210213
