N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,0,0,2070874
100,10,2000,2161675
100,20,4000,2215159
100,30,6000,2232745
100,40,8000,2725211
100,50,10000,2387873
100,60,12000,2259168
100,70,14000,2248935
100,80,16000,2310169
100,90,18000,2359362
100,100,20000,2240666
100,110,22000,3076475
100,120,24000,2915849
100,130,26000,2713005
100,140,28000,2394658
100,150,30000,2572859
100,160,32000,2589294
100,170,34000,2681868
100,180,36000,2879081
100,190,38000,3206838
100,200,40000,3255882
100,210,42000,2666827
100,220,44000,3249036
100,230,46000,2993923
100,240,48000,2431045
100,250,50000,3242516
100,260,52000,3092694
100,270,54000,2571565
100,280,56000,3029693
100,290,58000,3003407
100,300,60000,2844577
100,310,62000,2855596
100,320,64000,3276715
100,330,66000,2643276
100,340,68000,2798677
100,350,70000,2829309
100,360,72000,3414864
100,370,74000,2834819
100,380,76000,2822114
100,390,78000,2653364
100,400,80000,2505087
100,410,82000,3188188
100,420,84000,3280838
100,430,86000,3144549
100,440,88000,2921659
100,450,90000,3239526
100,460,92000,3410638
100,470,94000,2951600
100,480,96000,3850768
100,490,98000,3146589
100,500,100000,3214240
100,510,102000,3066718
100,520,104000,3757966
100,530,106000,3361233
100,540,108000,3414616
100,550,110000,3165554
100,560,112000,3768498
100,570,114000,3040039
100,580,116000,3093000
100,590,118000,3561988
100,600,120000,3556059
100,610,122000,3363614
100,620,124000,3340826
100,630,126000,3596164
100,640,128000,3624969
100,650,130000,3535787
100,660,132000,3263280
100,670,134000,3650891
100,680,136000,4243728
100,690,138000,3505086
100,700,140000,4074123
100,710,142000,3470275
100,720,144000,4446881
100,730,146000,3630933
100,740,148000,3168382
100,750,150000,2939730
100,760,152000,2944526
100,770,154000,3213743
100,780,156000,3183014
100,790,158000,3378836
100,800,160000,3570856
100,810,162000,3672342
100,820,164000,3731678
100,830,166000,3456019
100,840,168000,3382189
100,850,170000,3301489
100,860,172000,3461972
100,870,174000,3756661
100,880,176000,3474567
100,890,178000,3473934
100,900,180000,3606807
100,910,182000,3776008
100,920,184000,3589201
100,930,186000,3471173
100,940,188000,3678522
100,950,190000,3442923
100,960,192000,3716136
100,970,194000,3798319
100,980,196000,3717200
100,990,198000,3739159
100,1000,200000,3615738
100,1010,202000,3819423
100,1020,204000,4106362
100,1030,206000,4544332
100,1040,208000,3821359
100,1050,210000,3640276
100,1060,212000,3439351
100,1070,214000,3709959
100,1080,216000,3841025
100,1090,218000,3520883
100,1100,220000,3700834
100,1110,222000,3760827
100,1120,224000,3553016
100,1130,226000,3766115
100,1140,228000,3936865
100,1150,230000,5270939
100,1160,232000,4456999
100,1170,234000,4274888
100,1180,236000,4522058
100,1190,238000,4193833
100,1200,240000,3822559
100,1210,242000,4109174
100,1220,244000,4394634
100,1230,246000,4245565
100,1240,248000,4414879
100,1250,250000,3852684
100,1260,252000,3760090
100,1270,254000,4296149
100,1280,256000,4408597
100,1290,258000,4847997
100,1300,260000,4010949
100,1310,262000,4671142
100,1320,264000,4666506
100,1330,266000,4615218
100,1340,268000,4397525
100,1350,270000,4534989
100,1360,272000,4315387
100,1370,274000,3845842
100,1380,276000,4060709
100,1390,278000,4551861
100,1400,280000,4862326
100,1410,282000,4105617
100,1420,284000,4619608
100,1430,286000,4532112
100,1440,288000,4549325
100,1450,290000,4212899
100,1460,292000,4192106
100,1470,294000,4509000
100,1480,296000,4603698
100,1490,298000,4813781
100,1500,300000,4796597
100,1510,302000,4685425
100,1520,304000,4621629
100,1530,306000,4660707
100,1540,308000,4858638
100,1550,310000,4735811
100,1560,312000,4959847
100,1570,314000,4620769
100,1580,316000,4917341
100,1590,318000,4838545
100,1600,320000,4759866
100,1610,322000,4964064
100,1620,324000,4973451
100,1630,326000,5089912
100,1640,328000,5104852
100,1650,330000,4669731
100,1660,332000,5482962
100,1670,334000,5437859
100,1680,336000,5384209
100,1690,338000,5134900
100,1700,340000,5126285
100,1710,342000,5181573
100,1720,344000,5355701
100,1730,346000,6379037
100,1740,348000,5166355
100,1750,350000,4973142
100,1760,352000,4953323
100,1770,354000,5792341
100,1780,356000,5414541
100,1790,358000,5168123
100,1800,360000,5327260
100,1810,362000,5319702
100,1820,364000,5702644
100,1830,366000,5444874
100,1840,368000,5506512
100,1850,370000,5674401
100,1860,372000,6418227
100,1870,374000,5445337
100,1880,376000,6580544
100,1890,378000,5533553
100,1900,380000,5954201
100,1910,382000,5798756
100,1920,384000,5853448
100,1930,386000,6291522
100,1940,388000,5695175
100,1950,390000,6171943
100,1960,392000,5368903
100,1970,394000,5788735
100,1980,396000,5507873
100,1990,398000,6243617
100,2000,400000,5525299
100,2010,402000,5943287
100,2020,404000,5467535
100,2030,406000,6118576
100,2040,408000,5646065
100,2050,410000,5755660
100,2060,412000,5569892
100,2070,414000,6002856
100,2080,416000,6116295
100,2090,418000,5962993
100,2100,420000,5767223
100,2110,422000,5800595
100,2120,424000,5499205
100,2130,426000,6015767
100,2140,428000,5672276
100,2150,430000,5812064
100,2160,432000,5853699
100,2170,434000,5999101
100,2180,436000,6160253
100,2190,438000,6209871
100,2200,440000,6359487
100,2210,442000,6568822
100,2220,444000,6272860
100,2230,446000,6225044
100,2240,448000,6108748
100,2250,450000,6480623
100,2260,452000,6547564
100,2270,454000,6332200
100,2280,456000,5994105
100,2290,458000,6040398
100,2300,460000,6793227
100,2310,462000,5842510
100,2320,464000,6732014
100,2330,466000,6484520
100,2340,468000,6528107
100,2350,470000,6422165
100,2360,472000,7098075
100,2370,474000,7058806
100,2380,476000,5923502
100,2390,478000,6539064
100,2400,480000,7142353
100,2410,482000,6710266
100,2420,484000,6272530
100,2430,486000,5816859
100,2440,488000,6094455
100,2450,490000,6164970
100,2460,492000,6011372
100,2470,494000,7988138
100,2480,496000,6746284
100,2490,498000,6470161
100,2500,500000,6992710
100,2510,502000,6545410
100,2520,504000,8211902
100,2530,506000,5884802
100,2540,508000,7416141
100,2550,510000,6977753
100,2560,512000,6493851
100,2570,514000,6506208
100,2580,516000,6687768
100,2590,518000,6617575
100,2600,520000,6326064
100,2610,522000,7589792
100,2620,524000,6708297
100,2630,526000,6316474
100,2640,528000,6428155
100,2650,530000,6457584
100,2660,532000,7544143
100,2670,534000,6397927
100,2680,536000,6567173
100,2690,538000,6905983
100,2700,540000,7353977
100,2710,542000,7212683
100,2720,544000,6860308
100,2730,546000,6990207
100,2740,548000,6915861
100,2750,550000,6314428
100,2760,552000,6265154
100,2770,554000,6697173
100,2780,556000,7401872
100,2790,558000,6780149
100,2800,560000,6669577
100,2810,562000,6966632
100,2820,564000,7308164
100,2830,566000,6368880
100,2840,568000,7489266
100,2850,570000,7039125
100,2860,572000,7403115
100,2870,574000,7158969
100,2880,576000,7230559
100,2890,578000,6628334
100,2900,580000,6920869
100,2910,582000,7331727
100,2920,584000,6795183
100,2930,586000,6965661
100,2940,588000,7331381
100,2950,590000,7204255
100,2960,592000,8198501
100,2970,594000,7200978
100,2980,596000,7524793
100,2990,598000,7327808
100,3000,600000,7689616
100,3010,602000,7309017
100,3020,604000,8471931
100,3030,606000,7836364
100,3040,608000,7464757
100,3050,610000,7294392
100,3060,612000,7771014
100,3070,614000,8547857
100,3080,616000,7020281
100,3090,618000,8024331
100,3100,620000,7390306
