N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,0,0,1371769
100,10,2000,1503849
100,20,4000,1466513
100,30,6000,1423966
100,40,8000,3739233
100,50,10000,2798309
100,60,12000,2126102
100,70,14000,2035879
100,80,16000,2042130
100,90,18000,2023696
100,100,20000,1607606
100,110,22000,2044478
100,120,24000,2079828
100,130,26000,2790178
100,140,28000,2832904
100,150,30000,1826722
100,160,32000,1828060
100,170,34000,2040222
100,180,36000,2508410
100,190,38000,2300702
100,200,40000,1863449
100,210,42000,1860326
100,220,44000,1927396
100,230,46000,3874280
100,240,48000,2187437
100,250,50000,2099592
100,260,52000,2229297
100,270,54000,2336321
100,280,56000,2164994
100,290,58000,2252490
100,300,60000,2277378
100,310,62000,2570124
100,320,64000,3357841
100,330,66000,1952923
100,340,68000,2037652
100,350,70000,1999984
100,360,72000,3090201
100,370,74000,2219706
100,380,76000,2461526
100,390,78000,2487397
100,400,80000,2448519
100,410,82000,2702491
100,420,84000,2472675
100,430,86000,2046185
100,440,88000,2052579
100,450,90000,3046023
100,460,92000,1864947
100,470,94000,2219675
100,480,96000,2333854
100,490,98000,2373434
100,500,100000,2242291
100,510,102000,2609611
100,520,104000,2478890
100,530,106000,2590726
100,540,108000,2425858
100,550,110000,2474331
100,560,112000,2158295
100,570,114000,2630033
100,580,116000,2216358
100,590,118000,2271828
100,600,120000,2585266
100,610,122000,3315484
100,620,124000,2671660
100,630,126000,3858485
100,640,128000,4168120
100,650,130000,3013512
100,660,132000,2997218
100,670,134000,2429552
100,680,136000,2574797
100,690,138000,2943083
100,700,140000,4052564
100,710,142000,2511369
100,720,144000,2041598
100,730,146000,2166137
100,740,148000,2633022
100,750,150000,3137212
100,760,152000,2135301
100,770,154000,2124292
100,780,156000,2123558
100,790,158000,3075121
100,800,160000,3407553
100,810,162000,2248640
100,820,164000,3098610
100,830,166000,3184713
100,840,168000,2917815
100,850,170000,3240288
100,860,172000,2601868
100,870,174000,2070770
100,880,176000,3550535
100,890,178000,2836765
100,900,180000,2753912
100,910,182000,3272799
100,920,184000,2977618
100,930,186000,3453945
100,940,188000,2308554
100,950,190000,1965565
100,960,192000,3342719
100,970,194000,2936356
100,980,196000,3748773
100,990,198000,2538921
100,1000,200000,3094301
100,1010,202000,2999168
100,1020,204000,2885201
100,1030,206000,2747706
100,1040,208000,2683710
100,1050,210000,2012902
100,1060,212000,3803385
100,1070,214000,2720242
100,1080,216000,2842522
100,1090,218000,2774187
100,1100,220000,2569650
100,1110,222000,2095600
100,1120,224000,2356900
100,1130,226000,3502133
100,1140,228000,2731279
100,1150,230000,3401042
100,1160,232000,3112848
100,1170,234000,2584162
100,1180,236000,2907123
100,1190,238000,1971691
100,1200,240000,4214154
100,1210,242000,2936025
100,1220,244000,2746119
100,1230,246000,2509295
100,1240,248000,2254149
100,1250,250000,2980657
100,1260,252000,3091385
100,1270,254000,3177352
100,1280,256000,2975805
100,1290,258000,3071379
100,1300,260000,2757753
100,1310,262000,2787438
100,1320,264000,2704406
100,1330,266000,2256510
100,1340,268000,4144143
100,1350,270000,2358646
100,1360,272000,3245387
100,1370,274000,2593813
100,1380,276000,2335183
100,1390,278000,3492881
100,1400,280000,3527312
100,1410,282000,3925367
100,1420,284000,4003649
100,1430,286000,4131279
100,1440,288000,3892714
100,1450,290000,3072485
100,1460,292000,2655351
100,1470,294000,2573690
100,1480,296000,2048291
100,1490,298000,2277245
100,1500,300000,2210975
100,1510,302000,3025197
100,1520,304000,3588217
100,1530,306000,3286231
100,1540,308000,3006431
100,1550,310000,3280164
100,1560,312000,3498760
100,1570,314000,3058917
100,1580,316000,2914786
100,1590,318000,2874618
100,1600,320000,2784207
100,1610,322000,2019750
100,1620,324000,2044421
100,1630,326000,2059209
100,1640,328000,1984371
100,1650,330000,1993741
100,1660,332000,2848027
100,1670,334000,3140249
100,1680,336000,2740509
100,1690,338000,2779278
100,1700,340000,3145972
100,1710,342000,2888210
100,1720,344000,2467570
100,1730,346000,3821696
100,1740,348000,4080100
100,1750,350000,2275065
100,1760,352000,2024290
100,1770,354000,2061677
100,1780,356000,2119299
100,1790,358000,2466215
100,1800,360000,2203298
100,1810,362000,2772053
100,1820,364000,3871803
100,1830,366000,3360838
100,1840,368000,3665001
100,1850,370000,3351178
100,1860,372000,3849068
100,1870,374000,2248190
100,1880,376000,2230822
100,1890,378000,2269726
100,1900,380000,2304146
100,1910,382000,2301130
100,1920,384000,2052879
100,1930,386000,3411419
100,1940,388000,3460418
100,1950,390000,2660994
100,1960,392000,2086310
100,1970,394000,3619895
100,1980,396000,1992313
100,1990,398000,3697619
100,2000,400000,2183248
100,2010,402000,3951930
100,2020,404000,2194645
100,2030,406000,2190315
100,2040,408000,2168751
100,2050,410000,2066413
100,2060,412000,2279664
100,2070,414000,2072689
100,2080,416000,4136852
