TOTAL_BYTES,TIME_NS
0,2583622

160000,8167465

320000,11847557

480000,10560296

640000,10949074

800000,10430048

960000,12861225

1120000,11658736

1280000,17588909

1440000,22206925

1600000,15834134

1760000,19960024

1920000,19000294

2080000,20587858

2240000,22069826

2400000,23793854

2560000,24982367

2720000,26684815

2880000,27975257

3040000,30787472

3200000,34930953

3360000,36975294

3520000,40355665

3680000,37994169

3840000,43260000

4000000,38870849

4160000,42417895

4320000,42641422

4480000,49433469

4640000,45933434

4800000,47794169

4960000,52076162

5120000,54680625

5280000,60533427

5440000,55297450

5600000,58372566

5760000,62478222

5920000,62187305

6080000,80252377

6240000,64515946

6400000,70561298

6560000,63493620

6720000,64914849

6880000,66659738

7040000,68214920

7200000,69550157

7360000,73439943

7520000,77272850

7680000,85056955

7840000,84058470

8000000,82654650

8160000,86116176

8320000,84780332

8480000,92884852

8640000,87352233

8800000,89834088

8960000,99901457

9120000,91417756

9280000,89365020

9440000,90910370

9600000,94028786

9760000,108161359

9920000,104471382

10080000,105690347

10240000,100339802

10400000,108889931

10560000,110854000

10720000,114047188

10880000,122184268

11040000,114135193

11200000,113909662

11360000,117374043

11520000,133909399

11680000,120452134

11840000,123166706

12000000,123718140

12160000,122391982

12320000,127065070

12480000,130332645

12640000,130845561

12800000,132893992

12960000,135699940

13120000,139787661

13280000,135507046

13440000,141078131

13600000,136720788

13760000,138033694

13920000,135523475

14080000,147242921

14240000,149041875

14400000,148678545

14560000,145220358

14720000,148037598

14880000,211056252

15040000,163016486

15200000,156599576

15360000,161141604

15520000,158327153

15680000,155494372

15840000,166015530

