N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,4987131
6,100,700,5065344
11,100,1200,5494624
16,100,1700,5008520
21,100,2200,5094165
26,100,2700,5183634
31,100,3200,5148161
36,100,3700,5119885
41,100,4200,5010652
46,100,4700,4987426
51,100,5200,5203038
56,100,5700,5141209
61,100,6200,5237487
66,100,6700,5268671
71,100,7200,5129819
76,100,7700,5233272
81,100,8200,5221948
86,100,8700,20284221
91,100,9200,20001485
96,100,9700,19802609
101,100,10200,20075248
106,100,10700,20148370
111,100,11200,19725791
116,100,11700,20275783
121,100,12200,20072698
126,100,12700,20108551
131,100,13200,20611066
136,100,13700,20984746
141,100,14200,20517712
146,100,14700,20222214
151,100,15200,20520764
156,100,15700,20244863
161,100,16200,20329199
166,100,16700,20338375
171,100,17200,20653719
176,100,17700,19734226
181,100,18200,20399914
186,100,18700,20711555
191,100,19200,20699385
196,100,19700,20224104
201,100,20200,20394166
206,100,20700,20686973
211,100,21200,20867269
216,100,21700,21212475
221,100,22200,21896594
226,100,22700,16629220
231,100,23200,21491732
236,100,23700,21596314
241,100,24200,22187918
246,100,24700,21309086
251,100,25200,20893304
256,100,25700,21259531
261,100,26200,20671604
266,100,26700,20220691
271,100,27200,20949689
276,100,27700,20804808
281,100,28200,20810538
286,100,28700,20916719
291,100,29200,21507442
296,100,29700,21201897
301,100,30200,21746775
306,100,30700,21534443
311,100,31200,22279022
316,100,31700,22078039
321,100,32200,21095242
326,100,32700,21101060
331,100,33200,21286083
336,100,33700,21251187
341,100,34200,21204614
346,100,34700,20850581
351,100,35200,21484028
356,100,35700,21824582
361,100,36200,21567937
366,100,36700,21282187
371,100,37200,21612715
376,100,37700,21272155
381,100,38200,22344472
386,100,38700,21875835
391,100,39200,22126271
396,100,39700,21675492
401,100,40200,21745155
406,100,40700,22114822
411,100,41200,21606505
416,100,41700,22010700
421,100,42200,21786072
426,100,42700,21286018
431,100,43200,21732107
436,100,43700,21556687
441,100,44200,19083939
446,100,44700,21797153
451,100,45200,21159793
456,100,45700,20998967
461,100,46200,21682618
466,100,46700,21594125
471,100,47200,21910391
476,100,47700,34209717
481,100,48200,13486078
486,100,48700,43367041
491,100,49200,12990627
496,100,49700,26015843
501,100,50200,18566283
506,100,50700,34890153
511,100,51200,23442333
516,100,51700,12270739
521,100,52200,48828683
526,100,52700,21788027
531,100,53200,14122589
536,100,53700,10185764
541,100,54200,72184783
546,100,54700,64527380
551,100,55200,76572377
556,100,55700,53240030
561,100,56200,14205107
566,100,56700,49708948
571,100,57200,52441474
576,100,57700,92249933
581,100,58200,61334864
586,100,58700,14184104
591,100,59200,24410738
596,100,59700,43584148
601,100,60200,13110341
606,100,60700,112718794
611,100,61200,21328446
616,100,61700,43627505
621,100,62200,22607253
626,100,62700,32454562
631,100,63200,57890061
636,100,63700,23254783
641,100,64200,37714515
646,100,64700,22499430
651,100,65200,29170642
656,100,65700,61909528
661,100,66200,23077839
666,100,66700,40897165
671,100,67200,69898213
676,100,67700,60893329
681,100,68200,52587647
686,100,68700,14526684
691,100,69200,41534872
696,100,69700,49993054
701,100,70200,45356406
706,100,70700,17652422
711,100,71200,32369487
716,100,71700,44300645
721,100,72200,44533035
726,100,72700,16142233
731,100,73200,34264771
736,100,73700,32841739
741,100,74200,31767777
746,100,74700,13540415
751,100,75200,26621967
756,100,75700,36104958
761,100,76200,12945537
766,100,76700,61851440
771,100,77200,79265726
776,100,77700,67663538
781,100,78200,59144622
786,100,78700,70982355
791,100,79200,57058880
796,100,79700,41516183
801,100,80200,44650533
806,100,80700,63452220
811,100,81200,35443298
816,100,81700,38893948
821,100,82200,60892263
826,100,82700,137323270
831,100,83200,90295413
836,100,83700,61081675
841,100,84200,52965048
846,100,84700,61517763
851,100,85200,52789991
856,100,85700,48962312
861,100,86200,45626443
866,100,86700,45137888
871,100,87200,46943292
876,100,87700,41493933
881,100,88200,38898794
886,100,88700,49317000
891,100,89200,45478741
896,100,89700,43005446
901,100,90200,52923875
906,100,90700,58756442
911,100,91200,58741919
916,100,91700,46847721
921,100,92200,58710613
926,100,92700,64688184
931,100,93200,72205834
936,100,93700,46530897
941,100,94200,48507449
946,100,94700,51272067
951,100,95200,38614098
956,100,95700,46592140
961,100,96200,46468804
966,100,96700,46979170
971,100,97200,36562535
976,100,97700,50755150
981,100,98200,36835444
986,100,98700,45072010
991,100,99200,50219382
996,100,99700,38688287
