seconds,nanoseconds
0,491554
0,313896
0,287079
0,285721
0,308704
0,298691
0,311586
0,309400
0,287714
0,260494
0,251971
0,243890
0,252227
0,253791
0,240114
0,253001
0,252562
0,254487
0,253450
0,253552
0,254023
0,253332
0,253424
0,160335
0,249661
0,250706
0,253510
0,253037
0,253342
0,253557
0,253827
0,253583
0,253650
0,253172
0,253758
0,252868
0,253252
0,4600055
0,22662
0,27975
0,7543
0,6868
0,153093
0,20033
0,4761
0,13647
0,16716
0,177222
0,26270
0,14018
0,5934
0,14610
0,189873
0,11232603
0,4274
0,2760
0,13406
0,15616
0,21515
0,4069
0,22928
0,17453
0,14745
0,6159047
0,12820
0,6710
0,19683
0,18513
0,17015
0,13205
0,16663
0,11398
0,16457
0,8285
0,24146
0,4794
0,17831
0,3465555
0,3530
0,24010
0,11448
0,11959
0,16634
0,13081
0,15844
0,12722
0,15546
0,14834
0,11661
0,17680
0,14591
0,14076
0,15452
0,15877
0,12512
0,17630742
0,2954
0,15904
0,11053
0,17229
