seconds,nanoseconds
0,389824
0,262920
0,228755
0,276155
0,239600
0,231446
0,84936
0,164611
0,94063
0,163358
0,86971
0,1229559
0,232639
0,100282
0,179376
0,73526
0,143983
0,1251637
0,243525
0,230651
0,210333
0,210132
0,210609
0,211917
0,211882
0,211270
0,209772
0,211045
0,92800
0,233206
0,212583
0,209892
0,210734
0,211867
0,212553
0,209858
0,211181
0,212443
0,1245765
0,245155
0,1240934
0,229316
0,78495
0,2208462
0,1208691
0,223125
0,1217172
0,218290
0,157599
0,227124
0,2224838
0,1209245
0,225055
0,224611
0,1209629
0,225171
0,136029
0,219639
0,108493
0,200324
0,70119
0,1210803
0,225568
0,213142
0,59952
0,1220694
0,225040
0,214789
0,60062
0,194197
0,101353
0,217801
0,77778
0,209788
0,1219601
0,225495
0,2223988
0,1210850
0,224086
0,214755
0,61332
0,192609
0,125503
0,193740
0,1219892
0,214692
0,123243
0,1222835
0,215196
0,192215
0,1219511
0,214102
0,69002
0,217558
0,1224689
0,1199309
0,234995
0,224485
0,222307
0,225112
