seconds,nanoseconds
0,79506
0,20578
0,8346
0,7941
0,7317
0,7450
0,7467
0,8293
0,7392
0,15743
0,7654
0,7724
0,7775
0,7515
0,7400
0,7632
0,7385
0,22942
0,7564
0,7373
0,7467
0,35705
0,44082
0,7777
0,10946
0,32289
0,25154
0,7718
0,7510
0,7453
0,7633
0,7751
0,7385
0,7457
0,21538
0,7590
0,7353
0,15157
0,26024
0,7229
0,33900
0,7520
0,7179
0,7155
0,7212
0,7546
0,7391
0,7382
0,28054
0,7650
0,7353
0,7242
0,7193
0,7819
0,7252
0,7527
0,9469
0,14680
0,7362
0,7480
0,7298
0,7269
0,25620
0,7861
0,7154
0,7169
0,7474
0,7338
0,17178
0,7327
0,13985
0,7553
0,7320
0,7216
0,7435
0,7380
0,36581
0,7083
0,15791
0,9950
0,12323
0,23081
0,7299
0,7354
0,7591
0,19657
0,7325
0,7430
0,20593
0,7407
0,7219
0,7122
0,7203
0,7314
0,7791
0,7472
0,7563
0,16833
0,7550
0,7315
