seconds,nanoseconds
0,553781
0,337187
0,373015
0,5409829
0,1388207
0,1390592
0,1390041
0,1333447
0,3396855
0,310195
0,348907
0,320252
0,2316104
0,4322353
0,1313844
0,1295177
0,339155
0,283651
0,1310294
0,280453
0,1300075
0,338442
0,315043
0,2313163
0,2313221
0,1316243
0,339939
0,1307426
0,314550
0,2311658
0,1315087
0,301507
0,307848
0,1310577
0,1308966
0,346420
0,1298506
0,305728
0,1303025
0,1314385
0,1311378
0,332933
0,328250
0,283614
0,279525
0,312710
0,281396
0,2297224
0,269863
0,1286998
0,272383
0,1300603
0,313797
0,311994
0,270871
0,1281429
0,321970
0,275413
0,270667
0,329301
0,284789
0,1290325
0,306900
0,326325
0,309870
0,1286935
0,334720
0,276137
0,274901
0,326902
0,291405
0,280672
0,278837
0,266640
0,267660
0,2290393
0,1286748
0,272645
0,272188
0,306806
0,1289611
0,1289896
0,319488
0,320001
0,277049
0,1272621
0,325289
0,274500
0,266716
0,316833
0,301696
0,1284856
0,281631
0,320492
0,287975
0,313946
0,271556
0,256144
0,268139
0,2276443
