seconds,nanoseconds
0,1209638
0,30068
0,2054825
0,1048672
0,1037619
0,2053258
0,23083
0,23677
0,23228
0,2053948
0,22870
0,21684
0,22406
0,1039354
0,23499
0,22078
0,21835
0,21940
0,23632
0,1038859
0,1038952
0,33459
0,23469
0,2052687
0,22890
0,8133603
0,2117394
0,3062849
0,23444
0,2053532
0,1040289
0,22905
0,1037296
0,23110
0,1039211
0,23875
0,22309
0,1039065
0,23291
0,21963
0,1040256
0,2051210
0,23388
0,1038880
0,22808
0,29233
0,23709
0,1038228
0,23778
0,1043680
0,33239
0,2049817
0,22055
0,22501
0,2050343
0,22767
0,25459
0,3064446
0,1040068
0,2050265
0,3065378
0,2052407
0,1040241
0,23186
0,21732
0,22298
0,2080812
0,22627
0,2051624
0,5106069
0,3084729
0,1037772
0,1035662
0,1039146
0,23923
0,22602
0,22985
0,4074237
0,22555
0,21514
0,22258
0,1037807
0,23098
0,2050887
0,23401
0,4076734
0,22835
0,34442
0,23309
0,3061739
0,7114748
0,2058858
0,23752
0,22624
0,2050721
0,22747
0,1035967
0,22922
0,21421
0,22429
