seconds,nanoseconds
0,7357569
0,28436758
0,7147584
0,7151688
0,8165289
0,14237583
0,22463
0,2051569
0,21307804
0,7149345
0,26378012
0,11198847
0,3070158
0,4102551
0,15241684
0,27381648
0,24350881
0,22327543
0,15243917
0,2054042
0,11194956
0,20298358
0,1037464
0,4106884
0,20298891
0,53681985
0,4085498
0,9170493
0,47622076
0,5107777
0,3079499
0,15237603
0,22110
0,12212686
0,1042246
0,10177721
0,14230501
0,5121689
0,4086787
0,18277769
0,3076795
0,8158994
0,9171180
0,2051394
0,6131228
0,22134
0,5107641
0,4099848
0,13220198
0,4097665
0,16250399
0,9174714
0,3081732
0,1042828
0,11191071
0,19291539
0,8158362
0,15241381
0,23241
0,4084889
0,21940
0,16254865
0,3065534
0,3084729
0,18275257
0,2053050
0,23740
0,3079203
0,1039875
0,21677
0,21682
0,7142903
0,2053476
0,29104
0,5123957
0,1035459
0,7145936
0,39517042
0,1035580
0,3083414
0,15242113
0,4103933
0,13217355
0,1038942
0,5116645
0,2053088
0,12207877
0,1039535
0,12203633
0,8164295
0,2050251
0,17266558
0,22317987
0,19282215
0,15240494
0,19286157
0,1036672
0,5118505
0,2052433
0,7143513
