seconds,nanoseconds
0,526297
0,309334
0,277494
0,278139
0,341087
0,272849
0,272047
0,277189
0,326646
0,271867
0,280194
0,310142
0,320956
0,279990
0,350629
0,325794
0,280307
0,331015
0,321721
0,280938
0,362469
0,303531
0,265702
0,357662
0,324644
0,323568
0,351357
0,318961
0,278176
0,329479
0,319882
0,327314
0,309305
0,336703
0,323138
0,269820
0,350509
0,325558
0,292404
0,313909
0,277558
0,278832
0,359323
0,321673
0,281542
0,343606
0,335750
0,281654
0,347893
0,325836
0,321201
0,326801
0,323420
0,303381
0,313374
0,307702
0,321704
0,292267
0,321272
0,316891
0,275371
0,314859
0,277286
0,263680
0,327258
0,423608
0,270630
0,328697
0,276809
0,282587
0,310384
0,288111
0,268217
0,274416
0,273928
0,267835
0,264758
0,272307
0,293982
0,312703
0,267238
0,310083
0,324438
0,315515
0,325019
0,305884
0,281386
0,291608
0,328701
0,319450
0,280560
0,280321
0,319611
0,291537
0,273605
0,325448
0,327032
0,283121
0,322783
0,314708
