N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,4827355
6,100,700,4723405
11,100,1200,4597783
16,100,1700,4570842
21,100,2200,4547719
26,100,2700,4761198
31,100,3200,4866578
36,100,3700,4885663
41,100,4200,4851834
46,100,4700,4837112
51,100,5200,4966923
56,100,5700,4945664
61,100,6200,5084224
66,100,6700,5006003
71,100,7200,4945764
76,100,7700,7836207
81,100,8200,4870880
86,100,8700,17270585
91,100,9200,19508240
96,100,9700,26584407
101,100,10200,21375627
106,100,10700,17543811
111,100,11200,25553216
116,100,11700,26371389
121,100,12200,27668583
126,100,12700,26855926
131,100,13200,21558079
136,100,13700,18230299
141,100,14200,21506190
146,100,14700,17752934
151,100,15200,23287946
156,100,15700,27354017
161,100,16200,40330619
166,100,16700,23471330
171,100,17200,30309625
176,100,17700,21600069
181,100,18200,21658612
186,100,18700,23505643
191,100,19200,23806061
196,100,19700,23628757
201,100,20200,24646127
206,100,20700,25577145
211,100,21200,23360199
216,100,21700,26633519
221,100,22200,21366634
226,100,22700,21665569
231,100,23200,23417933
236,100,23700,21709482
241,100,24200,20083157
246,100,24700,28834747
251,100,25200,21851396
256,100,25700,19742577
261,100,26200,37622627
266,100,26700,26223405
271,100,27200,21697798
276,100,27700,17545900
281,100,28200,27109143
286,100,28700,20324530
291,100,29200,24577405
296,100,29700,18779632
301,100,30200,21706667
306,100,30700,32228313
311,100,31200,19337836
316,100,31700,16718271
321,100,32200,17996430
326,100,32700,36967007
331,100,33200,21401593
336,100,33700,269764263
341,100,34200,61667179
346,100,34700,78861424
351,100,35200,17069751
356,100,35700,43432456
361,100,36200,23305941
366,100,36700,21373173
371,100,37200,33519222
376,100,37700,17642720
381,100,38200,23555752
386,100,38700,26174953
391,100,39200,23339896
396,100,39700,27236137
401,100,40200,24191197
406,100,40700,24898597
411,100,41200,24027297
416,100,41700,24826015
421,100,42200,41704796
426,100,42700,22002917
431,100,43200,24222115
436,100,43700,26939032
441,100,44200,24264569
446,100,44700,19982259
451,100,45200,22557698
456,100,45700,21924841
461,100,46200,23771248
466,100,46700,22189445
471,100,47200,23491134
476,100,47700,21784244
481,100,48200,23494170
486,100,48700,25458715
491,100,49200,23358611
496,100,49700,21672330
501,100,50200,23562591
506,100,50700,21988529
511,100,51200,23445215
516,100,51700,21804003
521,100,52200,23486834
526,100,52700,28988248
531,100,53200,20931342
536,100,53700,24939446
541,100,54200,26568401
546,100,54700,21950821
551,100,55200,24662598
556,100,55700,43977691
561,100,56200,62868623
566,100,56700,57128942
571,100,57200,40992816
576,100,57700,40097482
581,100,58200,33123708
586,100,58700,35725456
591,100,59200,14486391
596,100,59700,38518765
601,100,60200,41562234
606,100,60700,47427576
611,100,61200,40954498
616,100,61700,63242183
621,100,62200,51430935
626,100,62700,68420719
631,100,63200,73971830
636,100,63700,55655154
641,100,64200,55463142
646,100,64700,69906346
651,100,65200,54954208
656,100,65700,37677706
661,100,66200,43505748
666,100,66700,43314154
671,100,67200,50969466
676,100,67700,37803427
681,100,68200,47500181
686,100,68700,43742949
691,100,69200,51021101
701,100,70200,73116602
706,100,70700,128655808
716,100,71700,73364501
721,100,72200,59766504
726,100,72700,84109513
731,100,73200,37748602
736,100,73700,59043561
741,100,74200,51627917
746,100,74700,45818091
751,100,75200,51749104
756,100,75700,45993436
761,100,76200,39609716
766,100,76700,91035491
771,100,77200,79004727
776,100,77700,39943670
781,100,78200,104885191
786,100,78700,41556784
791,100,79200,102812237
796,100,79700,134550445
801,100,80200,156823504
806,100,80700,182855671
811,100,81200,114506089
816,100,81700,138653996
821,100,82200,114651539
826,100,82700,140736370
831,100,83200,128764572
836,100,83700,101227210
841,100,84200,79567863
846,100,84700,66970626
851,100,85200,83204621
856,100,85700,91996960
861,100,86200,114955143
866,100,86700,146796395
871,100,87200,98766275
876,100,87700,94814808
881,100,88200,88707207
886,100,88700,92608614
891,100,89200,105027158
896,100,89700,91292615
901,100,90200,90464653
906,100,90700,76616916
911,100,91200,70860165
916,100,91700,74823647
921,100,92200,82714418
926,100,92700,82492232
931,100,93200,28124012
936,100,93700,75329236
941,100,94200,74510379
946,100,94700,41835989
951,100,95200,71713945
956,100,95700,64613230
961,100,96200,33781683
966,100,96700,49577047
971,100,97200,27272539
976,100,97700,57750825
981,100,98200,20066470
986,100,98700,35960300
991,100,99200,28982639
996,100,99700,21193141
