N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,5045888
6,100,700,4612040
11,100,1200,4596451
16,100,1700,4595123
21,100,2200,4611461
26,100,2700,8709980
31,100,3200,12646449
36,100,3700,4660574
41,100,4200,7822088
46,100,4700,4661007
51,100,5200,7875037
56,100,5700,4643039
61,100,6200,4778646
66,100,6700,17813180
71,100,7200,6058057
76,100,7700,5921036
81,100,8200,5038419
86,100,8700,26101268
91,100,9200,21065609
96,100,9700,24975441
101,100,10200,28130151
106,100,10700,17875195
111,100,11200,29592237
116,100,11700,29271098
121,100,12200,28831609
126,100,12700,32246495
131,100,13200,24973825
136,100,13700,23828686
141,100,14200,20580149
146,100,14700,22658051
151,100,15200,28508967
156,100,15700,26510375
161,100,16200,21025558
166,100,16700,18216825
171,100,17200,19798020
176,100,17700,23654906
181,100,18200,17943544
186,100,18700,21407760
191,100,19200,24292536
196,100,19700,21149406
201,100,20200,23932872
206,100,20700,16722763
211,100,21200,26433933
216,100,21700,27249815
221,100,22200,26572183
226,100,22700,30900068
231,100,23200,30928138
236,100,23700,34526063
241,100,24200,24308826
246,100,24700,15881611
251,100,25200,23538128
256,100,25700,19667462
261,100,26200,13003325
266,100,26700,12768458
271,100,27200,11890955
276,100,27700,15439883
281,100,28200,19425628
286,100,28700,25379652
291,100,29200,13200096
296,100,29700,11372190
301,100,30200,18047382
306,100,30700,19939852
311,100,31200,24521601
316,100,31700,14040941
321,100,32200,17656794
326,100,32700,17986968
331,100,33200,19741549
336,100,33700,17282804
341,100,34200,9949663
346,100,34700,10000986
351,100,35200,17253770
356,100,35700,17035993
361,100,36200,12317351
366,100,36700,13832793
371,100,37200,13201042
376,100,37700,16326715
381,100,38200,11411371
386,100,38700,17392465
391,100,39200,19766276
396,100,39700,27021520
401,100,40200,1415460765
406,100,40700,25013458
411,100,41200,19274446
416,100,41700,21173441
421,100,42200,15441708
426,100,42700,15965857
431,100,43200,12166502
436,100,43700,17963539
441,100,44200,14618012
446,100,44700,12356338
451,100,45200,17096353
456,100,45700,26229463
461,100,46200,19610754
466,100,46700,18865364
471,100,47200,15440994
476,100,47700,24056855
481,100,48200,15491011
486,100,48700,13955797
491,100,49200,15890043
496,100,49700,15373008
501,100,50200,17258881
506,100,50700,15945826
511,100,51200,17045300
516,100,51700,17896653
521,100,52200,16978141
526,100,52700,17983566
531,100,53200,13832415
536,100,53700,19559961
541,100,54200,17842733
546,100,54700,13442912
551,100,55200,13736051
556,100,55700,16227906
561,100,56200,10626991
566,100,56700,14580704
571,100,57200,12879349
576,100,57700,14127345
581,100,58200,17052231
586,100,58700,11644125
591,100,59200,12316050
596,100,59700,21912609
601,100,60200,32600301
606,100,60700,986580845
611,100,61200,6992739
616,100,61700,4729601
621,100,62200,4981511
626,100,62700,8105116
631,100,63200,8634719
636,100,63700,9229722
641,100,64200,13191419
646,100,64700,9385542
651,100,65200,14412662
656,100,65700,11012027
661,100,66200,9064366
666,100,66700,11984448
671,100,67200,14526493
676,100,67700,9571989
681,100,68200,10701354
686,100,68700,9096223
691,100,69200,10626236
696,100,69700,10235473
701,100,70200,9941803
706,100,70700,13804170
711,100,71200,10581035
716,100,71700,11592893
721,100,72200,500220307
726,100,72700,2441491
731,100,73200,9942051
736,100,73700,12834822
741,100,74200,23587068
746,100,74700,13599832
751,100,75200,23807517
756,100,75700,23977791
761,100,76200,24642444
766,100,76700,23081208
771,100,77200,16857806
776,100,77700,521814263
781,100,78200,9113290
786,100,78700,21602628
791,100,79200,11876490
796,100,79700,19525135
801,100,80200,10156955
806,100,80700,15956244
811,100,81200,24401538
816,100,81700,23310922
821,100,82200,24391138
826,100,82700,24078010
831,100,83200,341045500
836,100,83700,5374489
841,100,84200,5495551
846,100,84700,11232218
851,100,85200,11330982
856,100,85700,11886686
861,100,86200,11189056
866,100,86700,11238402
871,100,87200,11478034
876,100,87700,12210062
881,100,88200,17405084
886,100,88700,1164719373
891,100,89200,10805392
896,100,89700,11799150
901,100,90200,11572505
906,100,90700,14202874
911,100,91200,10070250
916,100,91700,12449607
921,100,92200,13786975
926,100,92700,12132188
931,100,93200,11680901
936,100,93700,13602270
941,100,94200,11421044
946,100,94700,11371886
951,100,95200,12567208
956,100,95700,11580439
961,100,96200,11546410
966,100,96700,11681953
971,100,97200,12670764
976,100,97700,11931268
981,100,98200,12118080
986,100,98700,16729591
991,100,99200,947745436
996,100,99700,9614009
