N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,856106
6,100,700,833790
11,100,1200,834892
16,100,1700,838506
21,100,2200,873617
26,100,2700,26797118
31,100,3200,2144569
36,100,3700,2241315
41,100,4200,2114732
46,100,4700,2132261
51,100,5200,2255071
56,100,5700,2266550
61,100,6200,2127097
66,100,6700,2121053
71,100,7200,890874
76,100,7700,870060
81,100,8200,850359
86,100,8700,83796229
91,100,9200,2112788
96,100,9700,2134170
101,100,10200,2276062
106,100,10700,2264157
111,100,11200,2130902
116,100,11700,1311261
121,100,12200,880782
126,100,12700,891746
131,100,13200,55942567
136,100,13700,2149749
141,100,14200,2159420
146,100,14700,2259372
151,100,15200,2012474
156,100,15700,901412
161,100,16200,893161
166,100,16700,40328210
171,100,17200,2302907
176,100,17700,2322555
181,100,18200,2172021
186,100,18700,1324564
191,100,19200,925704
196,100,19700,49501344
201,100,20200,2169426
206,100,20700,2305033
211,100,21200,1259081
216,100,21700,933090
221,100,22200,33873098
226,100,22700,2395796
231,100,23200,2199128
236,100,23700,2267141
241,100,24200,1354370
246,100,24700,44364355
251,100,25200,2407680
256,100,25700,2192483
261,100,26200,2201868
266,100,26700,929114
271,100,27200,44415594
276,100,27700,2348664
281,100,28200,2235769
286,100,28700,1213425
291,100,29200,48883785
296,100,29700,2209679
301,100,30200,2346666
306,100,30700,5268325
311,100,31200,24853267
316,100,31700,1405540
321,100,32200,1271399
326,100,32700,1040462
331,100,33200,38223231
336,100,33700,2239491
341,100,34200,2254841
346,100,34700,994925
351,100,35200,58311876
356,100,35700,2270684
361,100,36200,1373068
366,100,36700,54951246
371,100,37200,2288034
376,100,37700,1665890
381,100,38200,92439748
386,100,38700,2252684
391,100,39200,1456298
396,100,39700,65615877
401,100,40200,2253500
406,100,40700,1175797
411,100,41200,71887959
416,100,41700,2057818
421,100,42200,997487
426,100,42700,53891256
431,100,43200,1823309
436,100,43700,995767
441,100,44200,60241428
446,100,44700,1392196
451,100,45200,83025327
456,100,45700,1930880
461,100,46200,58764916
466,100,46700,2271102
471,100,47200,1225463
476,100,47700,51644692
481,100,48200,1969949
486,100,48700,63918064
491,100,49200,2259434
496,100,49700,60962748
501,100,50200,2281872
506,100,50700,1486382
511,100,51200,50280731
516,100,51700,1904498
521,100,52200,68926396
526,100,52700,2159256
531,100,53200,79159886
536,100,53700,2083345
541,100,54200,81709040
546,100,54700,1885884
551,100,55200,69221886
556,100,55700,1880259
561,100,56200,74845322
566,100,56700,1671839
571,100,57200,77469612
576,100,57700,1416845
581,100,58200,73964302
586,100,58700,1188803
591,100,59200,68420127
596,100,59700,81516547
601,100,60200,1938019
606,100,60700,109686733
611,100,61200,98830955
616,100,61700,1529096
621,100,62200,72683688
626,100,62700,1198329
631,100,63200,75837137
636,100,63700,1185932
641,100,64200,66707599
646,100,64700,92227642
651,100,65200,1260385
656,100,65700,91434939
661,100,66200,82422733
666,100,66700,82657907
671,100,67200,1181172
676,100,67700,147139004
681,100,68200,162521760
686,100,68700,118948759
691,100,69200,1359985
696,100,69700,93451825
701,100,70200,83160093
706,100,70700,76913506
711,100,71200,62682315
716,100,71700,1868537
721,100,72200,54567975
726,100,72700,68760474
731,100,73200,1777240
736,100,73700,68962090
741,100,74200,96490957
746,100,74700,77258811
751,100,75200,100980867
756,100,75700,1543266
761,100,76200,81535096
766,100,76700,82492079
771,100,77200,65439817
776,100,77700,53087840
781,100,78200,1864530
786,100,78700,52261183
791,100,79200,52352554
796,100,79700,1213758
801,100,80200,46554855
806,100,80700,156046027
811,100,81200,22870248
816,100,81700,2914731
821,100,82200,2033756
826,100,82700,2479101
831,100,83200,1628635
836,100,83700,114866292
841,100,84200,90668235
846,100,84700,51122750
851,100,85200,1965976
856,100,85700,73798773
861,100,86200,35937512
866,100,86700,27359002
871,100,87200,99016272
876,100,87700,1830023
881,100,88200,119134977
886,100,88700,1571202
891,100,89200,62688651
896,100,89700,33437618
901,100,90200,26868054
906,100,90700,97114178
911,100,91200,1928640
916,100,91700,135111934
921,100,92200,2989281
926,100,92700,57974697
931,100,93200,1388158
936,100,93700,57129370
941,100,94200,1258557
946,100,94700,64648914
951,100,95200,73468310
956,100,95700,115081013
961,100,96200,129473808
966,100,96700,3127766
971,100,97200,59938331
976,100,97700,2337227
981,100,98200,126462338
986,100,98700,45330765
991,100,99200,118807996
996,100,99700,2561369
