seconds,nanoseconds
0,1363159
0,234135
0,236205
0,245075
0,239693
0,263603
0,217422
0,210751
0,220584
0,235538
0,215733
0,213843
0,214570
0,214936
0,216269
0,210460
0,1237084
0,1220885
0,225651
0,101698
0,156221
0,108718
0,171372
0,81216
0,1215328
0,203985
0,127834
0,113319
0,120459
0,170005
0,71330
0,214665
0,207880
0,227346
0,209528
0,210608
0,201149
0,84083
0,149310
0,86353
0,1199706
0,221355
0,1274427
0,207344
0,221814
0,215157
0,1208795
0,236549
0,1208358
0,226184
0,81719
0,159148
0,104360
0,200829
0,61404
0,194252
0,120056
0,1216165
0,202041
0,78598
0,155336
0,80492
0,155398
0,87007
0,153543
0,2226184
0,217849
0,89771
0,190584
0,62755
0,176727
0,70001
0,176610
0,63135
0,154064
0,1205292
0,214383
0,58620
0,182521
0,70270
0,170658
0,70143
0,145729
0,99097
0,149920
0,111420
0,122135
0,104895
0,132797
0,93390
0,163549
0,144858
0,116954
0,114489
0,144108
0,1208240
0,1216914
0,220121
0,112441
0,1213122
