seconds,nanoseconds
0,374570
0,313272
0,339903
0,308252
0,275518
0,270147
0,283235
0,367913
0,326038
0,337884
0,283120
0,343841
0,288451
0,281829
0,255520
0,355049
0,325409
0,279848
0,363994
0,323376
0,349160
0,358846
0,270236
0,267048
0,348748
0,269415
0,268035
0,306808
0,306492
0,328428
0,292437
0,356329
0,319609
0,290207
0,358265
0,282943
0,281003
0,377042
0,323688
0,276805
0,344752
0,301357
0,265606
0,358357
0,322447
0,281171
0,348503
0,299869
0,278800
0,320686
0,324305
0,329369
0,317581
0,300542
0,312462
0,287716
0,367894
0,322763
0,285011
0,359824
0,343074
0,290388
0,355724
0,319201
0,356114
0,351894
0,279535
0,281809
0,335100
0,265825
0,357263
0,353082
0,324309
0,279382
0,335834
0,312457
0,276771
0,328061
0,314006
0,263799
0,296726
0,305806
0,306637
0,283302
0,359235
0,315092
0,296440
0,310191
0,274502
0,274656
0,306748
0,318284
0,321837
0,328371
0,321535
0,316557
0,339116
0,317691
0,315921
0,274868
