seconds,nanoseconds
0,537853
0,310843
0,332530
0,336352
0,319882
0,330183
0,287396
0,337113
0,316964
0,317365
0,326814
0,320714
0,275589
0,290438
0,274300
0,285086
0,280120
0,301791
0,277730
0,284905
0,277650
0,280402
0,280315
0,290548
0,278419
0,278206
0,280041
0,297260
0,300399
0,275832
0,268109
0,273892
0,283931
0,279715
0,272807
0,282233
0,287798
0,290826
0,285800
0,272198
0,286551
0,276853
0,273519
0,289160
0,292772
0,274625
0,286350
0,288131
0,308820
0,282127
0,285618
0,253618
0,230449
0,240427
0,242306
0,250063
0,248097
0,242644
0,244383
0,244939
0,244419
0,243578
0,243917
0,252060
0,244374
0,243524
0,245807
0,246489
0,245192
0,244639
0,242549
0,246839
0,243001
0,241844
0,238861
0,247863
0,244843
0,246438
0,240776
0,246973
0,242754
0,241009
0,252935
0,245930
0,243807
0,243084
0,243192
0,253812
0,249059
0,244783
0,241957
0,244685
0,246781
0,244785
0,246934
0,248162
0,245573
0,243137
0,242140
0,243124
