seconds,nanoseconds
0,267859
0,31023
0,22158
0,20755
0,20977
0,1048275
0,21522
0,20659
0,21313
0,20622
0,20878
0,21602
0,21155
0,21015
0,20547
0,20807
0,21036
0,20845
0,20502
0,1038905
0,20850
0,20443
0,20843
0,20923
0,20536
0,20750
0,21258
0,21299
0,41330
0,24617
0,21283
0,21211
0,21597
0,22173
0,21883
0,21615
0,1034785
0,21878
0,20714
0,20690
0,20457
0,20459
0,21003
0,20499
0,1037256
0,21148
0,20631
0,20486
0,20557
0,20838
0,21188
0,20802
0,20351
0,20599
0,20830
0,20950
0,20321
0,1037834
0,21995
0,20632
0,20082
0,20396
0,21276
0,64025
0,2047769
0,2046398
0,22479
0,21254
0,22068
0,22293
0,21439
0,21496
0,21304
0,21755
0,21574
0,21903
0,21537
0,20970
0,20938
0,21687
0,20998
0,20266
0,1036863
0,21647
0,20878
0,20835
0,20882
0,20203
0,20647
0,20585
0,20442
0,20409
0,21692
0,21018
0,20412
0,21096
0,1042138
0,60915
0,24111
0,21241
