N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,44148095
6,100,700,4973141
11,100,1200,4367025
16,100,1700,42325856
21,100,2200,5612890
26,100,2700,7538627
31,100,3200,5484990
36,100,3700,7277650
41,100,4200,8172194
46,100,4700,5523456
51,100,5200,3818059
56,100,5700,7051900
61,100,6200,5506222
66,100,6700,6508059
71,100,7200,6371460
76,100,7700,5832760
81,100,8200,6043028
86,100,8700,21507777
91,100,9200,23063458
96,100,9700,23061663
101,100,10200,22623758
106,100,10700,21665408
111,100,11200,21480372
116,100,11700,20782959
121,100,12200,21055814
126,100,12700,21273776
131,100,13200,21677871
136,100,13700,21402307
141,100,14200,21926828
146,100,14700,22286089
151,100,15200,22389586
156,100,15700,22489430
161,100,16200,10363083
166,100,16700,16698145
171,100,17200,18181762
176,100,17700,13939925
181,100,18200,14364768
186,100,18700,17156672
191,100,19200,24719953
196,100,19700,20364943
201,100,20200,20645679
206,100,20700,19862549
211,100,21200,19734524
216,100,21700,20014386
221,100,22200,19746813
226,100,22700,19274167
231,100,23200,19697536
236,100,23700,16075136
241,100,24200,19734645
246,100,24700,19414860
251,100,25200,20153896
256,100,25700,19346904
261,100,26200,20074989
266,100,26700,19931199
271,100,27200,19876038
276,100,27700,19584367
281,100,28200,19917441
286,100,28700,19450551
291,100,29200,19657954
296,100,29700,15105245
301,100,30200,19668099
306,100,30700,19829614
311,100,31200,19813116
316,100,31700,19987500
321,100,32200,20054993
326,100,32700,19800367
331,100,33200,19636895
336,100,33700,15990703
341,100,34200,20231940
346,100,34700,19787346
351,100,35200,20065797
356,100,35700,20026191
361,100,36200,20198756
366,100,36700,19335635
371,100,37200,19783855
376,100,37700,20663823
381,100,38200,20435600
386,100,38700,20593412
391,100,39200,20255851
396,100,39700,20994490
401,100,40200,20322285
406,100,40700,20726930
411,100,41200,19235257
416,100,41700,20578023
421,100,42200,20941563
426,100,42700,21026293
431,100,43200,20476270
436,100,43700,16307439
441,100,44200,20451943
446,100,44700,20639796
451,100,45200,19914965
456,100,45700,19406937
461,100,46200,20848902
466,100,46700,20202758
471,100,47200,20524060
476,100,47700,20938533
481,100,48200,20790930
486,100,48700,21276150
491,100,49200,20547139
496,100,49700,21608869
501,100,50200,20909574
506,100,50700,20606562
511,100,51200,20712942
516,100,51700,20875919
521,100,52200,20145005
526,100,52700,12891341
531,100,53200,82346836
536,100,53700,90724370
541,100,54200,116474990
546,100,54700,95217064
551,100,55200,15302715
556,100,55700,65355924
561,100,56200,70716572
566,100,56700,14612987
571,100,57200,59413702
576,100,57700,89917796
581,100,58200,68184077
586,100,58700,14428016
591,100,59200,75745246
596,100,59700,72821788
601,100,60200,64828509
606,100,60700,16368812
611,100,61200,38795308
616,100,61700,17071157
621,100,62200,17872826
626,100,62700,56617329
631,100,63200,12165681
636,100,63700,44858175
641,100,64200,79787516
646,100,64700,17556716
651,100,65200,42515204
656,100,65700,56177149
661,100,66200,67168822
666,100,66700,22502278
671,100,67200,29500799
676,100,67700,21324051
681,100,68200,21266366
686,100,68700,30087217
691,100,69200,18898580
696,100,69700,19058512
701,100,70200,23504037
706,100,70700,24112456
711,100,71200,52137140
716,100,71700,58904308
721,100,72200,103887194
726,100,72700,30901489
731,100,73200,24741772
736,100,73700,48171926
741,100,74200,47092736
746,100,74700,16953405
751,100,75200,41769694
756,100,75700,64650632
761,100,76200,49511823
766,100,76700,52064289
771,100,77200,19722405
776,100,77700,25552296
781,100,78200,58530912
786,100,78700,41352598
791,100,79200,18780310
796,100,79700,26366377
801,100,80200,57806801
806,100,80700,44620349
811,100,81200,18700119
816,100,81700,19383758
821,100,82200,40765700
826,100,82700,33066871
831,100,83200,13736132
836,100,83700,20542739
841,100,84200,48402095
846,100,84700,37073106
851,100,85200,18904285
856,100,85700,17945697
861,100,86200,36726763
866,100,86700,31130407
871,100,87200,25086625
876,100,87700,15934100
881,100,88200,36675721
886,100,88700,35156558
891,100,89200,39157559
896,100,89700,25276991
901,100,90200,17874630
906,100,90700,22090625
911,100,91200,28380121
916,100,91700,19229022
921,100,92200,21487805
926,100,92700,26415887
931,100,93200,44502737
936,100,93700,34167417
941,100,94200,33343806
946,100,94700,29818308
951,100,95200,35796883
956,100,95700,23339468
961,100,96200,24081921
966,100,96700,16221505
971,100,97200,29547388
976,100,97700,36320387
981,100,98200,35685844
986,100,98700,38514142
991,100,99200,54977651
996,100,99700,74876735
