seconds,nanoseconds
0,404066
0,222618
0,294309
0,273936
0,275395
0,244053
0,239899
0,228628
0,230311
0,243100
0,245822
0,246614
0,230682
0,1243728
0,242880
0,230181
0,214104
0,212596
0,213808
0,214194
0,1241058
0,243036
0,1229746
0,236621
0,226521
0,217544
0,238322
0,200372
0,214644
0,224945
0,222582
0,222584
0,1204337
0,214288
0,74884
0,189312
0,223515
0,86543
0,211671
0,1209620
0,221099
0,85730
0,202126
0,87880
0,200760
0,87710
0,199709
0,74033
0,215068
0,193811
0,191650
0,75706
0,212798
0,191842
0,194310
0,75270
0,2212471
0,191491
0,192297
0,81578
0,213031
0,220208
0,230496
0,225517
0,226053
0,225585
0,221235
0,226347
0,225256
0,227947
0,226003
0,72131
0,176436
0,91970
0,161756
0,93073
0,162911
0,95058
0,159810
0,121158
0,109729
0,1207508
0,192254
0,225113
0,225965
0,226442
0,225789
0,225656
0,226798
0,226538
0,224721
0,225678
0,225871
0,225917
0,226100
0,238178
0,214115
0,225680
0,225666
0,225615
