seconds,nanoseconds
0,2088594
0,20492
0,7776
0,8413
0,7205
0,7196
0,1011559
0,17948
0,7021
0,3013538
0,17322
0,1020714
0,1009935
0,16715
0,6954
0,7218
0,7196
0,1009552
0,17053
0,7236
0,1009486
0,4015038
0,4017463
0,1010340
0,17622
0,6893
0,7111
0,7625
0,6028943
0,16811
0,1009594
0,2011663
0,16779
0,1009599
0,16815
0,7083
0,7589
0,7570
0,12306
0,6987
0,1017711
0,3013067
0,1009875
0,2011249
0,16866
0,7303
0,7197
0,2011381
0,16943
0,4015110
0,16645
0,1009497
0,3022789
0,16787
0,2011298
0,16875
0,1009400
0,16767
0,5017013
0,16679
0,4024702
0,17414
0,1009390
0,16761
0,1009190
0,16421
0,7272
0,1009456
0,2020368
0,16870
0,3013273
0,16673
0,7024
0,7975
0,7320
0,7180
0,1009576
0,2011239
0,16727
0,7030
0,7877
0,1009743
0,16578
0,2011078
0,17018
0,1009369
0,1009787
0,16938
0,6883
0,7938
0,7016
0,7170
0,7554
0,7111
0,2011157
0,2011670
0,2011592
0,16661
0,7215
0,3013573
