seconds,nanoseconds
0,613721
0,419327
0,1408072
0,360597
0,1400931
0,1404670
0,1415845
0,338711
0,2329998
0,294935
0,293810
0,2294696
0,298862
0,1298413
0,293829
0,296427
0,292471
0,295835
0,243687
0,236835
0,1266976
0,263147
0,253343
0,235613
0,240756
0,243375
0,237377
0,238552
0,1264880
0,2263444
0,286136
0,252452
0,247436
0,259861
0,238922
0,237381
0,236354
0,359161
0,1260218
0,334967
0,289715
0,277272
0,316101
0,249667
0,302122
0,279361
0,288196
0,1315508
0,1300128
0,297695
0,264716
0,1255272
0,1304463
0,1312036
0,2307671
0,5321198
0,1306370
0,308634
0,333900
0,367472
0,1257844
0,257811
0,250400
0,2266693
0,260359
0,1259917
0,258409
0,240842
0,244447
0,238026
0,240655
0,241055
0,247911
0,237768
0,237608
0,241150
0,251068
0,240768
0,243196
0,238665
0,2267237
0,254151
0,254224
0,245229
0,250815
0,1272103
0,1262850
0,250149
0,259610
0,236842
0,236934
0,240561
0,244533
0,240276
0,238745
0,262864
0,250042
0,242329
0,1265939
0,249135
