seconds,nanoseconds
0,185640
0,1042687
0,1036013
0,4069826
0,19933
0,1033662
0,18965
0,18020
0,18248
0,18186
0,18143
0,18093
0,18073
0,18338
0,18020
0,18130
0,18607
0,2044973
0,1033837
0,19354
0,1034922
0,1033807
0,19224
0,18712
0,1033952
0,3073196
0,21118
0,18679
0,18151
0,2043183
0,19016
0,18612
0,18028
0,18431
0,19151
0,19642
0,1037112
0,19266
0,18462
0,18739
0,18702
0,2045297
0,19040
0,18605
0,18033
0,1033046
0,19109
0,17975
0,2044521
0,19123
0,18085
0,2044441
0,19148
0,3055098
0,18729
0,1032842
0,1033940
0,18947
0,28908
0,20268
0,18910
0,1033468
0,18815
0,1033288
0,1035321
0,20532
0,18562
0,1033098
0,18950
0,18471
0,18115
0,2045167
0,2046328
0,21040
0,18529
0,18163
0,1035464
0,18792
0,1033729
0,19078
0,2043624
0,18953
0,1032358
0,2044005
0,19323
0,18031
0,1032549
0,2045432
0,26414
0,20334
0,18519
0,18388
0,2042955
0,19236
0,1031163
0,19274
0,18579
0,1032780
0,19071
0,18276
