seconds,nanoseconds
0,1494624
0,283478
0,334861
0,345223
0,282913
0,327214
0,333453
0,330591
0,346721
0,323104
0,307850
0,315865
0,314348
0,316998
0,2339891
0,317860
0,322847
0,304101
0,317215
0,325733
0,248066
0,278565
0,286346
0,248940
0,288749
0,293554
0,283886
0,272421
0,285136
0,2317188
0,257527
0,282589
0,281627
0,292581
0,287087
0,279124
0,2302390
0,253719
0,284253
0,282995
0,1328490
0,279044
0,1299193
0,285904
0,295024
0,285637
0,285012
0,298260
0,284818
0,279809
0,261366
0,289938
0,285924
0,278180
0,278733
0,278924
0,1256775
0,240671
0,249007
0,243889
0,243466
0,237328
0,267089
0,234322
0,240929
0,243822
0,248536
0,245039
0,252714
0,245567
0,252451
0,242103
0,246189
0,249970
0,254743
0,243693
0,246801
0,247188
0,1260967
0,242253
0,256447
0,240070
0,252754
0,244048
0,238284
0,240101
0,1299666
0,243404
0,240067
0,245031
0,248417
0,244275
0,237151
0,244654
0,1258556
0,246845
0,242821
0,242053
0,254632
0,243337
