seconds,nanoseconds
0,475714
0,323666
0,333454
0,2351252
0,324902
0,326770
0,343018
0,331690
0,293734
0,334897
0,328956
0,330603
0,1292756
0,287303
0,283942
0,351208
0,284063
0,1300913
0,1299781
0,282461
0,283516
0,288569
0,288103
0,258131
0,1304870
0,290600
0,282820
0,281374
0,300527
0,298365
0,2309042
0,293539
0,299416
0,291840
0,290951
0,307702
0,303143
0,292361
0,315964
0,286671
0,286206
0,284041
0,286337
0,289012
0,291630
0,294066
0,1303631
0,309952
0,309268
0,326141
0,300107
0,302947
0,278500
0,294197
0,290863
0,287299
0,298328
0,275411
0,282746
0,309446
0,276796
0,273872
1,-998717891
0,282901
0,292108
0,303357
0,280085
0,279281
0,278465
0,267562
0,276629
0,277695
0,309921
0,278948
0,277034
0,277021
0,240451
0,243349
0,1285927
0,275516
0,1290111
0,286892
0,295808
0,247705
0,239163
0,236162
0,229869
0,243402
0,232388
0,238895
0,1239107
0,241785
0,236146
0,237028
0,230394
0,232880
0,235639
0,1300780
0,279619
0,253246
