seconds,nanoseconds
0,238021
0,101629
0,24233
0,21203
0,21742
0,20890
0,21559
0,21840
0,21459
0,21224
0,21046
0,21354
0,20966
0,20722
0,21015
0,21499
0,21106
0,22895
0,21099
0,21060
0,21897
0,21760
0,21093
0,23386
0,21379
0,20665
0,21644
0,20963
0,20903
0,24377
0,20830
0,21754
0,21434
0,21068
0,21240
0,30256
0,22680
0,21555
0,21790
0,21704
0,21354
0,21930
0,20998
0,20625
0,21447
0,21206
0,21163
0,22497
0,22374
0,21163
0,21191
0,21218
0,21792
0,22211
0,20840
0,22552
0,22236
0,21066
0,21292
0,21903
0,22018
0,21176
0,21692
0,21261
0,21321
0,22083
0,21165
0,21061
0,21098
0,20562
0,21640
0,22687
0,22279
0,23483
0,22950
0,21090
0,21599
0,21346
0,21496
0,21559
0,21336
0,21381
0,24758
0,21286
0,21973
0,20967
0,21818
0,21689
0,22258
0,21203
0,21925
0,21156
0,24886
0,21254
0,22180
0,22346
0,21770
0,20629
0,22266
0,20705
