N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,36068990
6,100,700,4682443
11,100,1200,4285669
16,100,1700,48877742
21,100,2200,9088330
26,100,2700,5348680
31,100,3200,5440229
36,100,3700,4429661
41,100,4200,5374839
46,100,4700,5891710
51,100,5200,5033969
56,100,5700,4728541
61,100,6200,4571877
66,100,6700,5615503
71,100,7200,5394490
76,100,7700,5442621
81,100,8200,5597973
86,100,8700,20758021
91,100,9200,21071031
96,100,9700,21614752
101,100,10200,22302445
106,100,10700,22428276
111,100,11200,21334246
116,100,11700,22028081
121,100,12200,18888675
126,100,12700,22575137
131,100,13200,22562330
136,100,13700,22979976
141,100,14200,22370704
146,100,14700,22769615
151,100,15200,22067764
156,100,15700,23037036
161,100,16200,21841156
166,100,16700,22537984
171,100,17200,22857578
176,100,17700,22758325
181,100,18200,22445445
186,100,18700,22518963
191,100,19200,22804854
196,100,19700,23291191
201,100,20200,22156293
206,100,20700,22834998
211,100,21200,22590773
216,100,21700,22824229
221,100,22200,23223057
226,100,22700,22965025
231,100,23200,22787532
236,100,23700,23331814
241,100,24200,14885661
246,100,24700,22187556
251,100,25200,22499896
256,100,25700,22309293
261,100,26200,19587357
266,100,26700,19637364
271,100,27200,20248184
276,100,27700,19913016
281,100,28200,19992566
286,100,28700,20325468
291,100,29200,20365485
296,100,29700,20329699
301,100,30200,19994712
306,100,30700,20740196
311,100,31200,20138465
316,100,31700,20231696
321,100,32200,20607954
326,100,32700,20512549
331,100,33200,17241983
336,100,33700,20792095
341,100,34200,20535790
346,100,34700,20753698
351,100,35200,20437666
356,100,35700,15668087
361,100,36200,20298618
366,100,36700,20555259
371,100,37200,21155498
376,100,37700,20579616
381,100,38200,20939299
386,100,38700,21294699
391,100,39200,21225524
396,100,39700,20821121
401,100,40200,21204608
406,100,40700,20657963
411,100,41200,21078514
416,100,41700,17962292
421,100,42200,20858280
426,100,42700,8704043
431,100,43200,15052359
436,100,43700,20979249
441,100,44200,21134239
446,100,44700,64311532
451,100,45200,15129497
456,100,45700,67366861
461,100,46200,12735399
466,100,46700,82399123
471,100,47200,15124770
476,100,47700,54537292
481,100,48200,12651800
486,100,48700,49857951
491,100,49200,22170832
496,100,49700,21275363
501,100,50200,11962029
506,100,50700,36410644
511,100,51200,22909130
516,100,51700,21663843
521,100,52200,13293315
526,100,52700,36880898
531,100,53200,22832265
536,100,53700,37077430
541,100,54200,13485377
546,100,54700,50327504
551,100,55200,59572255
556,100,55700,14488256
561,100,56200,31875449
566,100,56700,23530803
571,100,57200,16877739
576,100,57700,23220842
581,100,58200,13457168
586,100,58700,22924497
591,100,59200,15154240
596,100,59700,22611288
601,100,60200,14890457
606,100,60700,13061679
611,100,61200,24057440
616,100,61700,29257988
621,100,62200,22958952
626,100,62700,18084495
631,100,63200,23204599
636,100,63700,12536807
641,100,64200,9488714
646,100,64700,19021411
651,100,65200,35495143
656,100,65700,11568219
661,100,66200,31697548
666,100,66700,35030685
671,100,67200,12130386
676,100,67700,21695371
681,100,68200,37779087
686,100,68700,14097946
691,100,69200,28338178
696,100,69700,60446085
701,100,70200,33339779
706,100,70700,16580949
711,100,71200,21945282
716,100,71700,45930446
721,100,72200,13218268
726,100,72700,19934122
731,100,73200,32074167
736,100,73700,32601655
741,100,74200,17378666
746,100,74700,19108705
751,100,75200,29657636
756,100,75700,23457728
761,100,76200,20899644
766,100,76700,34455873
771,100,77200,16799655
776,100,77700,27071082
781,100,78200,34379871
786,100,78700,32228674
791,100,79200,43005430
796,100,79700,14118399
801,100,80200,18126881
806,100,80700,48595614
811,100,81200,35170026
816,100,81700,38304770
821,100,82200,14762385
826,100,82700,74217201
831,100,83200,45439017
836,100,83700,45090478
841,100,84200,57628851
846,100,84700,38202181
851,100,85200,43240694
856,100,85700,37745060
861,100,86200,34543216
866,100,86700,47136043
871,100,87200,37218336
876,100,87700,33080846
881,100,88200,35122396
886,100,88700,39039817
891,100,89200,34639617
896,100,89700,32836819
901,100,90200,28806079
906,100,90700,26851093
911,100,91200,9406270
916,100,91700,13527856
921,100,92200,42943885
926,100,92700,36632353
931,100,93200,22710799
936,100,93700,50575293
941,100,94200,19157825
946,100,94700,24355970
951,100,95200,26686438
956,100,95700,57661850
961,100,96200,23287113
966,100,96700,51781149
971,100,97200,23707410
976,100,97700,33069036
981,100,98200,34657603
986,100,98700,61020386
991,100,99200,23001418
996,100,99700,120869205
