N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,5743066
6,100,700,7006480
11,100,1200,6594627
16,100,1700,8065526
21,100,2200,10036753
26,100,2700,6628788
31,100,3200,8409722
36,100,3700,10027115
41,100,4200,9568229
46,100,4700,8236759
51,100,5200,6762139
56,100,5700,5498757
61,100,6200,4340724
66,100,6700,8438945
71,100,7200,1530725994
76,100,7700,7822324
81,100,8200,7519286
86,100,8700,14810172
91,100,9200,14864638
96,100,9700,16662869
101,100,10200,16237154
106,100,10700,18917141
111,100,11200,18335918
116,100,11700,17096816
121,100,12200,18437445
126,100,12700,17612253
131,100,13200,18250086
136,100,13700,16624198
141,100,14200,16831716
146,100,14700,16853734
151,100,15200,21487995
156,100,15700,23192418
161,100,16200,16231833
166,100,16700,17699077
171,100,17200,21167977
176,100,17700,23416944
181,100,18200,31451798
186,100,18700,22287534
191,100,19200,16842108
196,100,19700,16346108
201,100,20200,14325925
206,100,20700,18079278
211,100,21200,17247249
216,100,21700,20653589
221,100,22200,13560974
226,100,22700,19497559
231,100,23200,18371721
236,100,23700,16533791
241,100,24200,17675889
246,100,24700,17505933
251,100,25200,23559636
256,100,25700,24303778
261,100,26200,23424512
266,100,26700,15253800
271,100,27200,15150667
276,100,27700,16558466
281,100,28200,14778217
286,100,28700,18198381
291,100,29200,16085378
296,100,29700,16695423
301,100,30200,17171776
306,100,30700,18160977
311,100,31200,16912089
316,100,31700,17650392
321,100,32200,17071660
326,100,32700,17857468
331,100,33200,17299237
336,100,33700,18142372
341,100,34200,17659810
346,100,34700,17455762
351,100,35200,20251789
356,100,35700,18137300
361,100,36200,20223313
366,100,36700,14079393
371,100,37200,17892350
376,100,37700,28604004
381,100,38200,16855920
386,100,38700,16304104
391,100,39200,17416396
396,100,39700,24733072
401,100,40200,17364494
406,100,40700,16405216
411,100,41200,26120598
416,100,41700,17190047
421,100,42200,17584062
426,100,42700,15469804
431,100,43200,22042122
436,100,43700,24309781
441,100,44200,14303563
446,100,44700,17757143
451,100,45200,17005188
456,100,45700,17387847
461,100,46200,19459562
466,100,46700,17113921
471,100,47200,16676104
476,100,47700,20077562
481,100,48200,21093513
486,100,48700,16499251
491,100,49200,17464826
496,100,49700,17217977
501,100,50200,16552685
506,100,50700,17623408
511,100,51200,17973020
516,100,51700,17270328
521,100,52200,15650544
526,100,52700,23014874
531,100,53200,15686428
536,100,53700,16216163
541,100,54200,24470674
546,100,54700,17001118
551,100,55200,16765384
556,100,55700,15875712
561,100,56200,14546053
566,100,56700,16764889
571,100,57200,17170197
576,100,57700,20452364
581,100,58200,19586991
586,100,58700,23099602
591,100,59200,22658887
596,100,59700,21093193
601,100,60200,17602047
606,100,60700,26135972
611,100,61200,16555909
616,100,61700,17296630
621,100,62200,16304275
626,100,62700,16015058
631,100,63200,32944068
636,100,63700,21884724
641,100,64200,20492026
646,100,64700,17178181
651,100,65200,21503568
656,100,65700,18317036
661,100,66200,15516254
666,100,66700,17143919
671,100,67200,16391850
676,100,67700,18886738
681,100,68200,20673325
686,100,68700,19740824
691,100,69200,17535834
696,100,69700,18020021
701,100,70200,21814608
706,100,70700,20418305
711,100,71200,11545316
716,100,71700,15009368
721,100,72200,17436549
726,100,72700,16103541
731,100,73200,29937158
736,100,73700,1022211637
741,100,74200,29731756
746,100,74700,17043962
751,100,75200,17077846
756,100,75700,18052629
761,100,76200,17609032
766,100,76700,16715428
771,100,77200,16965244
776,100,77700,20928029
781,100,78200,23708478
786,100,78700,19157297
791,100,79200,19885640
796,100,79700,22327357
801,100,80200,18832550
806,100,80700,11972867
811,100,81200,13442894
816,100,81700,19547569
821,100,82200,15677520
826,100,82700,15420745
831,100,83200,19191321
836,100,83700,821205314
841,100,84200,13603617
846,100,84700,12942886
851,100,85200,16022543
856,100,85700,15594927
861,100,86200,18241241
866,100,86700,11015459
871,100,87200,19539840
876,100,87700,19454961
881,100,88200,21809000
886,100,88700,16869851
891,100,89200,15086710
896,100,89700,19945038
901,100,90200,19153044
906,100,90700,14215737
911,100,91200,19220766
916,100,91700,16360526
921,100,92200,15526629
926,100,92700,870681761
931,100,93200,18893802
936,100,93700,17773568
941,100,94200,18027759
946,100,94700,15967833
951,100,95200,18155306
956,100,95700,16950020
961,100,96200,21728917
966,100,96700,24448520
971,100,97200,28929930
976,100,97700,24281658
981,100,98200,26162608
986,100,98700,29222446
991,100,99200,25358982
996,100,99700,24421774
