N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,2102964
6,100,700,3683801
11,100,1200,2987585
16,100,1700,7306090
21,100,2200,9367736
26,100,2700,3246649
31,100,3200,15460178
36,100,3700,11352814
41,100,4200,11429363
46,100,4700,14502426
51,100,5200,11400621
56,100,5700,15388002
61,100,6200,10045415
66,100,6700,15299542
71,100,7200,11401042
76,100,7700,3306876
81,100,8200,3330313
86,100,8700,3317204
91,100,9200,3329962
96,100,9700,3428457
101,100,10200,3357630
106,100,10700,15434036
111,100,11200,11391765
116,100,11700,3410216
121,100,12200,3460678
126,100,12700,11368118
131,100,13200,15444318
136,100,13700,11413287
141,100,14200,19438521
146,100,14700,15393493
151,100,15200,11444589
156,100,15700,15527182
161,100,16200,11500778
166,100,16700,7504376
171,100,17200,11551538
176,100,17700,11478125
181,100,18200,11503506
186,100,18700,11368079
191,100,19200,3107744
196,100,19700,2393225
201,100,20200,2331365
206,100,20700,2154355
211,100,21200,2200140
216,100,21700,2294243
221,100,22200,2151269
226,100,22700,2317604
231,100,23200,2223135
236,100,23700,2345139
241,100,24200,2202026
246,100,24700,2209578
251,100,25200,2323197
256,100,25700,2245786
261,100,26200,2330898
266,100,26700,2174961
271,100,27200,2152319
276,100,27700,2368775
281,100,28200,2415817
286,100,28700,2330198
291,100,29200,2287141
296,100,29700,2255533
301,100,30200,2406241
306,100,30700,2555448
311,100,31200,2309294
316,100,31700,2207586
321,100,32200,2002739
326,100,32700,2341175
331,100,33200,10297213
336,100,33700,2275393
341,100,34200,2253455
346,100,34700,942171
351,100,35200,2185722
356,100,35700,2175301
361,100,36200,2225319
366,100,36700,1242456
371,100,37200,2208306
376,100,37700,2272865
381,100,38200,2208765
386,100,38700,997517
391,100,39200,12234300
396,100,39700,9074934
401,100,40200,1548546
406,100,40700,2211906
411,100,41200,2194987
416,100,41700,4663933
421,100,42200,2323565
426,100,42700,3171577
431,100,43200,16333699
436,100,43700,2270718
441,100,44200,2221937
446,100,44700,3042994
451,100,45200,1656572
456,100,45700,16826937
461,100,46200,5424639
466,100,46700,4592894
471,100,47200,43614547
476,100,47700,4363900
481,100,48200,1603520
486,100,48700,5130636
491,100,49200,4963457
496,100,49700,4553494
501,100,50200,42573391
506,100,50700,2387758
511,100,51200,4454326
516,100,51700,33139514
521,100,52200,2778960
526,100,52700,38882758
531,100,53200,10871763
536,100,53700,1631122
541,100,54200,39878726
546,100,54700,2258493
551,100,55200,58794662
556,100,55700,5031547
561,100,56200,8276494
566,100,56700,10216490
571,100,57200,2037114
576,100,57700,44967555
581,100,58200,5325849
586,100,58700,34493030
591,100,59200,2315368
596,100,59700,9045556
601,100,60200,39295783
606,100,60700,1565855
611,100,61200,41543893
616,100,61700,3588992
621,100,62200,47564063
626,100,62700,6157988
631,100,63200,35244497
636,100,63700,3289132
641,100,64200,39191031
646,100,64700,5947247
651,100,65200,51984047
656,100,65700,12748972
661,100,66200,50601887
666,100,66700,14020807
671,100,67200,24997409
676,100,67700,3912724
681,100,68200,34916670
686,100,68700,5315211
691,100,69200,42854157
696,100,69700,2112234
701,100,70200,36027466
706,100,70700,13122778
711,100,71200,68014243
716,100,71700,15750356
721,100,72200,17020054
726,100,72700,4693828
731,100,73200,24233475
736,100,73700,4752503
741,100,74200,32601405
746,100,74700,8563600
751,100,75200,29343071
756,100,75700,38887617
761,100,76200,5259515
766,100,76700,47019058
771,100,77200,2109489
776,100,77700,30042446
781,100,78200,1686230
786,100,78700,52130704
791,100,79200,50163205
796,100,79700,4224139
801,100,80200,44129272
806,100,80700,4184134
811,100,81200,62649503
816,100,81700,59011430
821,100,82200,16491972
826,100,82700,34756135
831,100,83200,34947220
836,100,83700,5385867
841,100,84200,44176755
846,100,84700,61184181
851,100,85200,4798423
856,100,85700,76050547
861,100,86200,84303645
866,100,86700,1579430
871,100,87200,104379899
876,100,87700,40497002
881,100,88200,58265820
886,100,88700,3267213
891,100,89200,59655542
896,100,89700,87702111
901,100,90200,68885835
906,100,90700,1820337
911,100,91200,51933350
916,100,91700,56409102
921,100,92200,60780571
926,100,92700,5720885
931,100,93200,48613979
936,100,93700,63625591
941,100,94200,82715195
946,100,94700,2918343
951,100,95200,71646839
956,100,95700,75888419
961,100,96200,79123432
966,100,96700,96777332
971,100,97200,94393918
976,100,97700,89625111
981,100,98200,141485668
986,100,98700,94744239
991,100,99200,75836148
996,100,99700,84884836
