seconds,nanoseconds
0,109433
0,96435
0,25358
0,2048499
0,21274
0,21634
0,20179
0,20093
0,21045
0,1038047
0,21501
0,20424
0,2050144
0,21755
0,20855
0,1038308
0,21364
0,1040951
0,22098
0,20747
0,20744
0,1037111
0,21918
0,3059621
0,21433
0,20717
0,21229
0,20729
0,26382
0,23715
0,23980
0,21722
0,21740
0,21396
0,21096
0,23464
0,22936
0,21985
0,20416
0,20755
0,1035815
0,22176
0,20895
0,20429
0,2049564
0,21204
0,21930
0,21016
0,20724
0,20988
0,20905
0,21005
0,21647
0,21554
0,20564
0,1037368
0,21551
0,20768
0,21672
0,21585
0,20273
0,36457
0,29286
0,22773
0,21396
0,22058
0,21908
0,21956
0,21381
0,20958
0,21140
0,22695
0,20932
0,21524
0,21562
0,20690
0,21652
0,20492
0,21251
0,2047506
0,1037612
0,21407
0,20454
0,1037995
0,2051584
0,22336
0,20808
0,20915
0,1043585
0,27887
0,21960
0,20702
0,1039516
0,27055
0,35832
0,1037976
0,21421
0,38338
0,21732
0,20877
