seconds,nanoseconds
0,520291
0,316960
0,315002
0,278134
0,352418
0,309924
0,1361247
0,315166
0,283968
0,277101
0,351869
0,3371356
0,313530
0,353095
0,305763
0,306172
0,348203
0,2359305
0,323530
0,335497
0,314726
0,309470
0,341556
0,308250
0,1322741
0,336087
0,308598
0,269045
0,300462
0,303304
0,299452
0,286715
0,353717
0,320657
0,1328305
0,318392
0,317073
0,269799
0,346738
0,1318384
0,277580
0,302336
0,317506
0,313625
0,348352
0,321463
0,309129
0,342713
0,316301
0,302992
0,375093
0,321557
0,268482
0,314236
0,280960
0,325424
0,281330
0,354163
0,265627
0,265942
0,340244
0,291574
0,281896
0,1350939
0,279875
0,276805
0,345419
0,323072
0,1377521
0,307967
0,309235
0,288166
0,271280
0,357327
0,1365864
0,297368
0,335974
0,288693
0,275353
0,351579
0,285616
0,272417
0,307184
0,293215
0,269261
0,291691
0,302525
0,340035
0,289425
0,439571
0,287137
0,283963
0,1314545
0,329862
0,290362
0,1355085
0,312615
0,274036
0,1329614
0,330544
