seconds,nanoseconds
0,539262
0,333757
0,1399038
0,337397
0,1376541
0,369347
0,1376856
0,271594
0,349445
0,307543
0,293780
0,374302
0,282000
0,279063
0,337051
0,268120
0,1346956
0,340280
0,301899
0,1348451
0,385609
0,304972
0,306502
0,1367348
0,1354182
0,279164
0,365507
0,307711
0,1351005
0,1351995
0,1356167
0,1353992
0,309121
0,269456
0,275970
0,1342499
0,310864
0,2356756
0,345653
0,1324601
0,1344570
0,324490
0,310672
0,1351601
0,1334411
0,299766
0,298262
0,1315926
0,1326632
0,315680
0,274898
0,306754
0,318972
0,271538
0,269768
0,265282
0,1318268
0,1323854
0,325693
0,299996
0,291883
0,1331523
0,313976
0,285549
0,306837
0,316020
0,269450
0,278267
0,302155
0,316900
0,272070
0,267161
0,1288128
0,276810
0,276116
0,300610
0,312477
0,1292302
0,319216
0,1323841
0,273860
0,292760
0,313109
0,290266
0,277434
0,1313407
0,317897
0,308365
0,1318169
0,1298589
0,310874
0,320182
0,1323689
0,305831
0,1319129
0,314056
0,296404
0,271993
0,323120
0,279579
