seconds,nanoseconds
0,71068
0,23151
0,19597
0,18813
0,19356
0,31752
0,21802
0,19692
0,19078
0,19416
0,412266
0,29351
0,19454
0,20303
0,19158
0,18970
0,19098
0,19271
0,18847
0,19098
0,18814
0,19524
0,19116
0,19358
0,18792
0,19486
0,19276
0,20170
0,18687
0,18985
0,223009
0,26387
0,20461
0,20156
0,20239
0,20076
0,19487
0,24795
0,20003
0,20559
0,20828
0,19674
0,20576
0,19712
0,19740
0,20288
0,19883
0,19832
0,20429
0,19880
0,19594
0,20178
0,19056
0,20269
0,19659
0,18981
0,19224
0,19687
0,19163
0,19550
0,19834
0,20318
0,19860
0,19474
0,24164
0,19321
0,19080
0,19562
0,117657
0,22609
0,19020
0,18785
0,19354
0,18828
0,20224
0,19075
0,19354
0,19148
0,19981
0,20188
0,18719
0,19604
0,18675
0,19562
0,19795
0,19404
0,19581
0,19577
0,649631
0,25845
0,19519
0,18792
0,19118
0,18760
0,18662
0,18675
0,18575
0,18549
0,764618
0,25434
