seconds,nanoseconds
0,2507456
0,346681
0,335686
0,2373588
0,363960
0,1357433
0,2359278
0,3384138
0,320942
0,303549
0,1319703
0,311742
0,304900
0,299034
0,300519
0,291043
0,1275233
0,243131
0,242289
0,239769
0,4336231
0,1316095
0,266979
0,264809
0,1263217
0,2283198
0,1319840
0,270350
0,1262520
0,242273
0,1260107
0,245920
0,243318
0,243992
0,241179
0,248038
0,241928
0,1254622
0,241634
0,242887
0,1259236
0,240244
0,244995
0,242853
0,240632
0,241699
0,239888
0,246169
0,2262650
0,2261547
0,2320256
0,303280
0,265439
0,242974
0,243170
0,246387
0,248839
0,249860
0,250332
0,239791
0,248539
0,2264806
0,244585
0,244507
0,3269461
0,288752
0,252723
0,249751
0,1258998
0,245499
0,7381951
0,2354322
0,1353592
0,3328906
0,315849
0,300655
0,2333769
0,1318412
0,1281534
0,282146
0,266079
0,3326133
0,280163
0,270136
0,247054
0,243980
0,1275306
0,259576
0,1279445
0,258883
0,1270779
0,260894
0,246989
0,1262593
0,252625
0,1259787
0,1258745
0,253960
0,248486
0,1259258
