seconds,nanoseconds
0,1189631
0,2053980
0,1035682
0,1035015
0,2049431
0,2047449
0,1035187
0,20206
0,4070573
0,19308
0,1038851
0,24258
0,4067305
0,20346
0,19148
0,1033529
0,19499
0,19311
0,18760
0,2047660
0,1033709
0,19151
0,1033456
0,19849
0,18471
0,2046726
0,19616
0,19356
0,18732
0,4070054
0,19760
0,1034260
0,3057203
0,2046612
0,1033554
0,19351
0,1033120
0,19492
0,30021
0,2046375
0,19702
0,2045817
0,2044892
0,32635
0,2047766
0,19998
0,18449
0,19048
0,1033779
0,3058591
0,5082876
0,2046581
0,19218
0,2045643
0,1034544
0,19274
0,1033824
0,2044876
0,1035687
0,2045706
0,19274
0,7107859
0,19980
0,18659
0,18454
0,1034357
0,1041396
0,1034749
0,19331
0,19018
0,1034860
0,1033669
0,19359
0,19000
0,18477
0,2046802
0,19852
0,18637
0,18459
0,1034404
0,19616
0,6093157
0,19374
0,3056554
0,19316
0,1033749
0,18825
0,18777
0,18289
0,18549
0,1036988
0,2043826
0,1035823
0,21679
0,1031782
0,6096003
0,2044484
0,2044576
0,19103
0,4071307
