N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,4172374
6,100,700,5765169
11,100,1200,5493534
16,100,1700,6450213
21,100,2200,5432168
26,100,2700,5392846
31,100,3200,5940848
36,100,3700,5648255
41,100,4200,5502152
46,100,4700,5390212
51,100,5200,5479141
56,100,5700,5862694
61,100,6200,6066218
66,100,6700,5635785
71,100,7200,5653369
76,100,7700,5921699
81,100,8200,6110752
86,100,8700,21295210
91,100,9200,21863138
96,100,9700,22151596
101,100,10200,21977645
106,100,10700,21594963
111,100,11200,21293830
116,100,11700,21804734
121,100,12200,22091501
126,100,12700,21779511
131,100,13200,21744907
136,100,13700,21568027
141,100,14200,22573470
146,100,14700,22180033
151,100,15200,22553888
156,100,15700,22432286
161,100,16200,22859692
166,100,16700,22244228
171,100,17200,21615502
176,100,17700,21906227
181,100,18200,22691271
186,100,18700,21741916
191,100,19200,22055758
196,100,19700,22489250
201,100,20200,23290289
206,100,20700,8676343
211,100,21200,8217344
216,100,21700,8175923
221,100,22200,9151723
226,100,22700,8166582
231,100,23200,9098719
236,100,23700,8402504
241,100,24200,8632593
246,100,24700,8864934
251,100,25200,8515375
256,100,25700,8441133
261,100,26200,8478743
266,100,26700,8991711
271,100,27200,8502386
276,100,27700,8476221
281,100,28200,8427737
286,100,28700,8623268
291,100,29200,8832743
296,100,29700,9890218
301,100,30200,8460310
306,100,30700,8652217
311,100,31200,9334501
316,100,31700,8888364
321,100,32200,8881443
326,100,32700,8849639
331,100,33200,8841889
336,100,33700,9410340
341,100,34200,8680398
346,100,34700,8626698
351,100,35200,8632147
356,100,35700,9243072
361,100,36200,8715733
366,100,36700,15894548
371,100,37200,576689149
376,100,37700,5687218
381,100,38200,10009429
386,100,38700,3718089
391,100,39200,9902650
396,100,39700,9245534
401,100,40200,9558056
406,100,40700,9506153
411,100,41200,9523157
416,100,41700,9591708
421,100,42200,9645693
426,100,42700,9321827
431,100,43200,12445764
436,100,43700,14042831
441,100,44200,7786863
446,100,44700,7911148
451,100,45200,10665378
456,100,45700,8003645
461,100,46200,7931753
466,100,46700,11513116
471,100,47200,10830067
476,100,47700,478452555
481,100,48200,2681589
486,100,48700,10308706
491,100,49200,13244965
496,100,49700,19430181
501,100,50200,21000024
506,100,50700,18408564
511,100,51200,14214891
516,100,51700,13559202
521,100,52200,15444482
526,100,52700,23794417
531,100,53200,17485657
536,100,53700,14458809
541,100,54200,21577427
546,100,54700,9557183
551,100,55200,23137457
556,100,55700,570827629
561,100,56200,11676239
566,100,56700,23698967
571,100,57200,23004672
576,100,57700,27579420
581,100,58200,23364192
586,100,58700,23472468
591,100,59200,23406624
596,100,59700,22978234
601,100,60200,23167471
606,100,60700,23370171
611,100,61200,22978000
616,100,61700,23121534
621,100,62200,23220818
626,100,62700,22806812
631,100,63200,23036840
636,100,63700,897940764
641,100,64200,17629487
646,100,64700,17309041
651,100,65200,16857081
656,100,65700,23974796
661,100,66200,23023173
666,100,66700,23750553
671,100,67200,23389427
676,100,67700,23620809
681,100,68200,23285029
686,100,68700,24094069
691,100,69200,23068323
696,100,69700,23853273
701,100,70200,23518503
706,100,70700,325286631
711,100,71200,9054788
716,100,71700,14473859
721,100,72200,12188137
726,100,72700,13559614
731,100,73200,17401747
736,100,73700,10215095
741,100,74200,12592333
746,100,74700,23799756
751,100,75200,22974952
756,100,75700,23523879
761,100,76200,567886348
766,100,76700,3289271
771,100,77200,16717313
776,100,77700,24938004
781,100,78200,25344739
786,100,78700,25180054
791,100,79200,25354796
796,100,79700,25340162
801,100,80200,25052023
806,100,80700,26017959
811,100,81200,15942413
816,100,81700,17129017
821,100,82200,564781125
826,100,82700,24790754
831,100,83200,1139002629
836,100,83700,36843862
841,100,84200,19408567
846,100,84700,17234232
851,100,85200,23222909
856,100,85700,17990834
861,100,86200,17514890
866,100,86700,18927080
871,100,87200,16138266
876,100,87700,14386683
881,100,88200,15827627
886,100,88700,20824860
891,100,89200,17393609
896,100,89700,17409668
901,100,90200,12380896
906,100,90700,12997741
911,100,91200,14235213
916,100,91700,11428691
921,100,92200,10278747
926,100,92700,1394577466
931,100,93200,17896595
936,100,93700,20045158
941,100,94200,16733441
946,100,94700,20776114
951,100,95200,21945865
956,100,95700,17082254
961,100,96200,14962951
966,100,96700,16599052
971,100,97200,19997990
976,100,97700,18279837
981,100,98200,13980710
986,100,98700,16625816
991,100,99200,16673503
996,100,99700,17203825
