N_BYTES_PER_MSG,N_MSG,TOTAL_BYTES,TOTAL_TIME_NS
1,100,200,55987884
6,100,700,12215427
11,100,1200,10248337
16,100,1700,9841562
21,100,2200,11282461
26,100,2700,3321204
31,100,3200,11314418
36,100,3700,3331855
41,100,4200,11316472
46,100,4700,11299493
51,100,5200,3247502
56,100,5700,3271351
61,100,6200,3247365
66,100,6700,11335562
71,100,7200,3310705
76,100,7700,11348557
81,100,8200,7389767
86,100,8700,3293992
91,100,9200,3389388
96,100,9700,3433823
101,100,10200,3452205
106,100,10700,3371518
111,100,11200,3428985
116,100,11700,3347118
121,100,12200,3428755
126,100,12700,3435984
131,100,13200,3329219
136,100,13700,3411572
141,100,14200,11260020
146,100,14700,11274799
151,100,15200,2882686
156,100,15700,3317172
161,100,16200,2794727
166,100,16700,3239587
171,100,17200,3242785
176,100,17700,7063663
181,100,18200,5513179
186,100,18700,2553596
191,100,19200,34952852
196,100,19700,3460713
201,100,20200,31450357
206,100,20700,64280714
211,100,21200,33516497
216,100,21700,35509962
221,100,22200,3437162
226,100,22700,10982918
231,100,23200,2453389
236,100,23700,2132187
241,100,24200,2115519
246,100,24700,2149669
251,100,25200,2281419
256,100,25700,2241075
261,100,26200,2140821
266,100,26700,2142576
271,100,27200,2251927
276,100,27700,1193577
281,100,28200,82879932
286,100,28700,939628
291,100,29200,940351
296,100,29700,951937
301,100,30200,2761233
306,100,30700,2555125
311,100,31200,2303495
316,100,31700,2229600
321,100,32200,2185032
326,100,32700,2170151
331,100,33200,2174558
336,100,33700,1095495
341,100,34200,54801540
346,100,34700,2185417
351,100,35200,1621767
356,100,35700,2394446
361,100,36200,2232383
366,100,36700,2182403
371,100,37200,966571
376,100,37700,78831417
381,100,38200,11490817
386,100,38700,2528261
391,100,39200,8199599
396,100,39700,2202309
401,100,40200,1245443
406,100,40700,2252305
411,100,41200,2215874
416,100,41700,1331936
421,100,42200,54851637
426,100,42700,2212865
431,100,43200,1295944
436,100,43700,23439677
441,100,44200,1279159
446,100,44700,48609436
451,100,45200,2185796
456,100,45700,1424934
461,100,46200,30282813
466,100,46700,2016787
471,100,47200,32963154
476,100,47700,2312437
481,100,48200,1298165
486,100,48700,56390530
491,100,49200,1874776
496,100,49700,29251711
501,100,50200,2219624
506,100,50700,30544632
511,100,51200,1309053
516,100,51700,7060578
521,100,52200,51708984
526,100,52700,1080864
531,100,53200,34695724
536,100,53700,1499500
541,100,54200,24323431
546,100,54700,1743374
551,100,55200,45101702
556,100,55700,1683826
561,100,56200,33836030
566,100,56700,1876625
571,100,57200,17891396
576,100,57700,1915240
581,100,58200,27687388
586,100,58700,1928916
591,100,59200,62711801
596,100,59700,1730242
601,100,60200,18546845
606,100,60700,1917381
611,100,61200,23550757
616,100,61700,1716412
621,100,62200,17807608
626,100,62700,1682143
631,100,63200,39827728
636,100,63700,1397827
641,100,64200,30449996
646,100,64700,30809107
651,100,65200,1311668
656,100,65700,41354382
661,100,66200,1781963
666,100,66700,50460789
671,100,67200,1397165
676,100,67700,16736106
681,100,68200,1461837
686,100,68700,98684321
691,100,69200,2319976
696,100,69700,1935241
701,100,70200,68061653
706,100,70700,11087289
711,100,71200,2600408
716,100,71700,1674716
721,100,72200,82943062
726,100,72700,20045599
731,100,73200,1905901
736,100,73700,94769357
741,100,74200,3223854
746,100,74700,14903257
751,100,75200,2856091
756,100,75700,2213869
761,100,76200,2322175
766,100,76700,1794582
771,100,77200,95911142
776,100,77700,12189573
781,100,78200,1720025
786,100,78700,38658170
791,100,79200,55222416
796,100,79700,1851191
801,100,80200,66085811
806,100,80700,81866116
811,100,81200,85030237
816,100,81700,4328190
821,100,82200,61248598
826,100,82700,62415707
831,100,83200,53501308
836,100,83700,44897461
841,100,84200,1302806
846,100,84700,52043875
851,100,85200,80660014
856,100,85700,43369104
861,100,86200,88912301
866,100,86700,115027567
871,100,87200,19898719
876,100,87700,102930509
881,100,88200,105419775
886,100,88700,34725928
891,100,89200,4258471
896,100,89700,50798043
901,100,90200,1695236
906,100,90700,34714064
911,100,91200,77716054
916,100,91700,59820600
921,100,92200,47571770
926,100,92700,63324160
931,100,93200,68801503
936,100,93700,53029339
941,100,94200,54708519
946,100,94700,1661470
951,100,95200,61052005
956,100,95700,62900700
961,100,96200,65088673
966,100,96700,66549138
971,100,97200,62830696
976,100,97700,64590020
981,100,98200,60385361
986,100,98700,50491272
991,100,99200,55145323
996,100,99700,58336973
